@relation project
 @attribute fqCaller string 
  @attribute fqCalls string 
 @data 
'o/github/webbluetoothcg/bletestperipheral/Peripheral/onCreate(android.os.Bundle)','io/github/webbluetoothcg/bletestperipheral/Peripheral/findViewById(int) android/app/FragmentManager/findFragmentByTag(java.lang.String) android/bluetooth/le/AdvertiseSettings$Builder/setTxPowerLevel(int) io/github/webbluetoothcg/bletestperipheral/Peripheral/getFragmentManager() android/app/FragmentTransaction/commit() android/app/FragmentTransaction/add(int,android.app.Fragment,java.lang.String) io/github/webbluetoothcg/bletestperipheral/Peripheral/setContentView(int) android/view/Window/addFlags(int) io/github/webbluetoothcg/bletestperipheral/Peripheral/getSystemService(java.lang.String) android/bluetooth/BluetoothManager/getAdapter() android/bluetooth/le/AdvertiseData$Builder/build() android/content/Intent/getIntExtra(java.lang.String,int) android/util/Log/wtf(java.lang.String,java.lang.String) io/github/webbluetoothcg/bletestperipheral/Peripheral/getIntent() android/app/FragmentManager/beginTransaction() android/bluetooth/le/AdvertiseData$Builder/addServiceUuid(android.os.ParcelUuid) android/bluetooth/le/AdvertiseSettings$Builder/setAdvertiseMode(int) android/app/Activity/onCreate(android.os.Bundle) java/util/HashSet/HashSet() android/bluetooth/le/AdvertiseSettings$Builder/setConnectable(boolean) android/bluetooth/le/AdvertiseData$Builder/setIncludeTxPowerLevel(boolean) android/bluetooth/le/AdvertiseData$Builder/setIncludeDeviceName(boolean) android/bluetooth/le/AdvertiseSettings$Builder/AdvertiseSettings$Builder('
'o/github/webbluetoothcg/bletestperipheral/Peripheral/disconnectFromDevices()','android/bluetooth/BluetoothManager/getConnectedDevices(int) android/bluetooth/BluetoothDevice/getAddress() java/util/Iterator/hasNext() java/lang/StringBuilder/append(java.lang.String) android/bluetooth/BluetoothGattServer/cancelConnection(android.bluetooth.BluetoothDevice) java/util/Iterator/next() android/bluetooth/BluetoothDevice/getName() java/util/List/iterator() java/lang/StringBuilder/toString() java/lang/StringBuilder/StringBuilder() android/util/Log/d(java.lang.String,java.lang.String'
'o/github/webbluetoothcg/bletestperipheral/Peripheral$1/onStartFailure(int)','android/util/Log/w(java.lang.String,java.lang.String) java/lang/StringBuilder/append(java.lang.String) java/lang/StringBuilder/append(int) android/util/Log/wtf(java.lang.String,java.lang.String) android/util/Log/e(java.lang.String,java.lang.String) java/lang/StringBuilder/StringBuilder() android/bluetooth/le/AdvertiseCallback/onStartFailure(int) android/widget/TextView/setText(int) java/lang/StringBuilder/toString('
'o/github/webbluetoothcg/bletestperipheral/Peripheral$2/onDescriptorWriteRequest(android.bluetooth.BluetoothDevice,int,android.bluetooth.BluetoothGattDescriptor,boolean,boolean,int,byte[])','android/bluetooth/BluetoothGattServer/sendResponse(android.bluetooth.BluetoothDevice,int,int,int,byte[]) java/lang/StringBuilder/append(java.lang.String) android/bluetooth/BluetoothGattServerCallback/onDescriptorWriteRequest(android.bluetooth.BluetoothDevice,int,android.bluetooth.BluetoothGattDescriptor,boolean,boolean,int,byte[]) java/lang/StringBuilder/append(java.lang.Object) java/lang/StringBuilder/toString() android/util/Log/v(java.lang.String,java.lang.String) java/util/Arrays/equals(byte[],byte[]) java/util/Arrays/toString(byte[]) android/bluetooth/BluetoothGattDescriptor/getUuid() java/lang/StringBuilder/StringBuilder() android/bluetooth/BluetoothGattDescriptor/getCharacteristic() android/bluetooth/BluetoothGattCharacteristic/getProperties() android/bluetooth/BluetoothGattDescriptor/setValue(byte[]'
'o/github/webbluetoothcg/bletestperipheral/Peripheral$2/onConnectionStateChange(android.bluetooth.BluetoothDevice,int,int)','android/util/Log/v(java.lang.String,java.lang.String) android/bluetooth/BluetoothDevice/getAddress() java/util/HashSet/remove(java.lang.Object) java/lang/StringBuilder/append(java.lang.String) java/lang/StringBuilder/append(int) java/util/HashSet/add(java.lang.Object) android/bluetooth/BluetoothGattServerCallback/onConnectionStateChange(android.bluetooth.BluetoothDevice,int,int) java/lang/StringBuilder/toString() android/util/Log/e(java.lang.String,java.lang.String) io/github/webbluetoothcg/bletestperipheral/Peripheral/getString(int) java/lang/StringBuilder/StringBuilder() io/github/webbluetoothcg/bletestperipheral/Peripheral/runOnUiThread(java.lang.Runnable'
'o/github/webbluetoothcg/bletestperipheral/Peripheral$2/onCharacteristicReadRequest(android.bluetooth.BluetoothDevice,int,int,android.bluetooth.BluetoothGattCharacteristic)','android/bluetooth/BluetoothGattCharacteristic/getValue() java/util/Arrays/toString(byte[]) java/lang/StringBuilder/append(java.lang.Object) java/lang/StringBuilder/toString() android/bluetooth/BluetoothGattServer/sendResponse(android.bluetooth.BluetoothDevice,int,int,int,byte[]) android/bluetooth/BluetoothGattCharacteristic/getUuid() java/lang/StringBuilder/append(java.lang.String) android/bluetooth/BluetoothGattServerCallback/onCharacteristicReadRequest(android.bluetooth.BluetoothDevice,int,int,android.bluetooth.BluetoothGattCharacteristic) java/lang/StringBuilder/StringBuilder() android/util/Log/d(java.lang.String,java.lang.String'
'o/github/webbluetoothcg/bletestperipheral/Peripheral$2/onDescriptorReadRequest(android.bluetooth.BluetoothDevice,int,int,android.bluetooth.BluetoothGattDescriptor)','android/bluetooth/BluetoothGattServer/sendResponse(android.bluetooth.BluetoothDevice,int,int,int,byte[]) android/bluetooth/BluetoothGattDescriptor/getValue() java/util/Arrays/toString(byte[]) java/lang/StringBuilder/append(java.lang.Object) java/lang/StringBuilder/toString() android/bluetooth/BluetoothGattServerCallback/onDescriptorReadRequest(android.bluetooth.BluetoothDevice,int,int,android.bluetooth.BluetoothGattDescriptor) java/lang/StringBuilder/append(java.lang.String) android/bluetooth/BluetoothGattDescriptor/getUuid() java/lang/StringBuilder/StringBuilder() android/util/Log/d(java.lang.String,java.lang.String'
