@relation project
 @attribute fqCaller string 
  @attribute fqCalls string 
 @data 
'om/badlogic/gdx/graphics/h/g()','java/util/Map/get(java.lang.Object) java/util/List/size() java/lang/StringBuilder/StringBuilder() java/util/Set/iterator() java/lang/StringBuilder/toString() java/util/Iterator/next() java/util/Map/keySet('
'om/badlogic/gdx/backends/android/surfaceview/q/a(int,java.nio.Buffer)','java/nio/ByteBuffer/position() java/nio/CharBuffer/position(int) java/nio/CharBuffer/limit() java/nio/IntBuffer/get() java/nio/LongBuffer/position(int) java/nio/IntBuffer/position(int) java/nio/LongBuffer/limit() java/nio/LongBuffer/position() java/nio/ByteBuffer/get() java/nio/IntBuffer/put(int) java/nio/ByteBuffer/limit() java/nio/DoubleBuffer/position(int) java/nio/LongBuffer/order() java/nio/IntBuffer/order() java/nio/ByteOrder/nativeOrder() java/nio/ShortBuffer/position() java/nio/FloatBuffer/position() java/nio/DoubleBuffer/limit() java/nio/ByteBuffer/allocate(int) java/nio/CharBuffer/get() java/nio/ByteBuffer/asCharBuffer() java/nio/LongBuffer/put(long) java/nio/ByteBuffer/put(byte) java/nio/DoubleBuffer/put(double) java/nio/CharBuffer/put(char) java/nio/ByteBuffer/asLongBuffer() java/nio/ByteBuffer/asFloatBuffer() java/nio/LongBuffer/get() java/nio/ByteBuffer/asShortBuffer() java/nio/ByteBuffer/order() java/nio/ByteBuffer/order(java.nio.ByteOrder) java/nio/IntBuffer/position() java/nio/ShortBuffer/order() java/nio/IntBuffer/limit() java/nio/FloatBuffer/order() java/nio/ByteBuffer/rewind() java/nio/CharBuffer/position() java/nio/DoubleBuffer/order() java/nio/FloatBuffer/get() java/nio/ByteBuffer/position(int) java/nio/ShortBuffer/get() java/nio/FloatBuffer/position(int) java/nio/ShortBuffer/position(int) java/lang/RuntimeException/RuntimeException(java.lang.String) java/nio/CharBuffer/order() java/nio/DoubleBuffer/position() java/nio/ShortBuffer/limit() java/nio/ByteBuffer/asIntBuffer() java/nio/FloatBuffer/limit() java/nio/DoubleBuffer/get() java/nio/FloatBuffer/put(float) java/nio/ByteBuffer/asDoubleBuffer() java/nio/ShortBuffer/put(short'
'om/badlogic/gdx/backends/android/surfaceview/q/a(java.lang.StringBuilder,boolean,java.lang.String,com.badlogic.gdx.backends.android.surfaceview.r,int)','java/nio/ByteBuffer/get(int) java/lang/Integer/toString(int) java/lang/StringBuilder/StringBuilder() java/nio/ByteBuffer/asIntBuffer() java/lang/Float/toString(float) java/lang/StringBuilder/toString() java/nio/ShortBuffer/get(int) java/nio/FloatBuffer/get(int) java/nio/ByteBuffer/asFloatBuffer() java/nio/ByteBuffer/asShortBuffer() java/lang/StringBuilder/append(java.lang.String) java/nio/IntBuffer/get(int'
'om/badlogic/gdx/graphics/glutils/n/b()','java/lang/StringBuilder/append(java.lang.String) com/badlogic/gdx/graphics/d/c(int) com/badlogic/gdx/graphics/d/a(int) java/lang/StringBuilder/StringBuilder() java/nio/ByteBuffer/limit() java/lang/StringBuilder/append(int) java/nio/FloatBuffer/limit() java/lang/StringBuilder/toString() java/nio/ByteBuffer/limit(int'
'om/badlogic/gdx/graphics/glutils/n/a(float[],int,int)','java/nio/FloatBuffer/flip() java/nio/FloatBuffer/clear() java/nio/FloatBuffer/put(float[],int,int) java/nio/ByteBuffer/position(int) java/nio/FloatBuffer/position(int) java/nio/ByteBuffer/limit() java/nio/FloatBuffer/limit() java/nio/FloatBuffer/limit(int) java/nio/ByteBuffer/limit(int'
'om/badlogic/gdx/utils/aj/b()','java/lang/reflect/Constructor/newInstance(java.lang.Object[]) java/lang/reflect/Constructor/setAccessible(boolean) java/lang/Class/newInstance() java/lang/StringBuilder/append(java.lang.String) java/lang/Class/getDeclaredConstructor(java.lang.Class[]) java/lang/Class/getName() java/lang/StringBuilder/StringBuilder() java/lang/Class/getConstructor(java.lang.Class[]) java/lang/RuntimeException/RuntimeException(java.lang.String) java/lang/StringBuilder/toString('
'om/badlogic/gdx/e/a/b/ad/draw(com.badlogic.gdx.graphics.g2d.i,float)','com/badlogic/gdx/e/a/b/ad/getTop() com/badlogic/gdx/e/a/b/ad/getX() com/badlogic/gdx/e/a/e/getWidth() com/badlogic/gdx/e/a/b/ad/getRight() com/badlogic/gdx/e/a/b/ad/getStage() com/badlogic/gdx/e/a/b/ad/setX(float) com/badlogic/gdx/e/a/b/ad/getParent() com/badlogic/gdx/e/a/b/ad/getWidth() com/badlogic/gdx/e/a/e/getHeight() com/badlogic/gdx/e/a/b/ad/getY() com/badlogic/gdx/e/a/b/ad/setY(float) com/badlogic/gdx/e/a/b/ad/getHeight('
'om/badlogic/gdx/e/a/b/ad/a(com.badlogic.gdx.graphics.g2d.i,float)','com/badlogic/gdx/e/a/b/ad/o() com/badlogic/gdx/e/a/b/ad/getY() com/badlogic/gdx/e/a/b/ad/stageToLocalCoordinates(com.badlogic.gdx.math.ag) com/badlogic/gdx/e/a/b/ad/getStage() com/badlogic/gdx/e/a/b/ad/getHeight() com/badlogic/gdx/e/a/b/ad/getColor() com/badlogic/gdx/e/a/b/ad/getWidth() com/badlogic/gdx/e/a/b/ad/m() com/badlogic/gdx/e/a/b/ad/n() com/badlogic/gdx/e/a/b/ad/getX('
'e/onyxbits/pocketbandit/b/readyScreen()','de/onyxbits/pocketbandit/a/addActor(com.badlogic.gdx.e.a.b) com/badlogic/gdx/e/a/b/x/setBounds(float,float,float,float) com/badlogic/gdx/e/a/e/getColor() java/lang/StringBuilder/append(java.lang.String) java/lang/StringBuilder/append(int) com/badlogic/gdx/e/a/b/h/a(boolean) com/badlogic/gdx/e/a/b/l/setBounds(float,float,float,float) com/badlogic/gdx/e/a/b/g/getHeight() com/badlogic/gdx/e/a/b/h/getHeight() com/badlogic/gdx/e/a/b/j/getHeight() com/badlogic/gdx/e/a/e/setPosition(float,float) de/onyxbits/pocketbandit/g/getHeight() com/badlogic/gdx/e/a/b/g/addListener(com.badlogic.gdx.e.a.d) java/lang/StringBuilder/StringBuilder() com/badlogic/gdx/e/a/b/h/addListener(com.badlogic.gdx.e.a.d) com/badlogic/gdx/e/a/b/g/getWidth() de/onyxbits/pocketbandit/g/setPosition(float,float) com/badlogic/gdx/e/a/b/j/setPosition(float,float) com/badlogic/gdx/e/a/b/h/setPosition(float,float) com/badlogic/gdx/e/a/b/g/setPosition(float,float) java/lang/StringBuilder/toString() de/onyxbits/pocketbandit/a/setPosition(float,float'
'om/badlogic/gdx/e/a/b/g/draw(com.badlogic.gdx.graphics.g2d.i,float)','com/badlogic/gdx/e/a/b/g/getOriginY() com/badlogic/gdx/e/a/b/g/getRotation() com/badlogic/gdx/e/a/b/g/getY() com/badlogic/gdx/e/a/b/g/getColor() com/badlogic/gdx/e/a/b/g/getScaleX() com/badlogic/gdx/e/a/b/g/getScaleY() java/lang/Object/getClass() com/badlogic/gdx/e/a/b/g/e_() com/badlogic/gdx/e/a/b/g/getOriginX() com/badlogic/gdx/e/a/b/g/getX('
'om/badlogic/gdx/graphics/o/a(com.badlogic.gdx.c.a)','java/util/zip/InflaterInputStream/InflaterInputStream(java.io.InputStream) com/badlogic/gdx/graphics/m/a(int) java/lang/StringBuilder/append(java.lang.String) java/io/DataInputStream/close() java/io/DataInputStream/readInt() java/io/DataInputStream/DataInputStream(java.io.InputStream) java/io/DataInputStream/read(byte[]) java/nio/ByteBuffer/capacity() java/lang/StringBuilder/StringBuilder() java/nio/ByteBuffer/position(int) java/lang/StringBuilder/append(java.lang.Object) java/nio/ByteBuffer/put(byte[],int,int) java/io/BufferedInputStream/BufferedInputStream(java.io.InputStream) java/lang/StringBuilder/toString() java/nio/ByteBuffer/limit(int'
'om/badlogic/gdx/graphics/p/l()','java/util/Iterator/hasNext() java/lang/StringBuilder/append(java.lang.String) java/lang/StringBuilder/append(int) java/util/Map/get(java.lang.Object) java/util/List/size() java/lang/StringBuilder/StringBuilder() java/util/Set/iterator() java/lang/StringBuilder/toString() java/util/Iterator/next() java/util/Map/keySet('
'om/badlogic/gdx/graphics/p/b(com.badlogic.gdx.a)','java/util/ArrayList/ArrayList(java.util.Collection) java/util/Iterator/hasNext() java/util/Map/get(java.lang.Object) java/util/List/size() java/util/List/addAll(java.util.Collection) java/util/Iterator/next() java/util/List/get(int) java/util/List/clear() java/util/List/iterator('
'om/badlogic/gdx/e/a/b/l/draw(com.badlogic.gdx.graphics.g2d.i,float)','com/badlogic/gdx/e/a/b/l/getStage() com/badlogic/gdx/e/a/b/l/getColor() java/lang/Math/max(float,float) com/badlogic/gdx/e/a/b/l/getWidth() com/badlogic/gdx/e/a/b/l/getHeight() com/badlogic/gdx/e/a/b/l/e_() com/badlogic/gdx/e/a/b/l/resetTransform(com.badlogic.gdx.graphics.g2d.i) com/badlogic/gdx/e/a/b/l/applyTransform(com.badlogic.gdx.graphics.g2d.i,com.badlogic.gdx.math.Matrix4) com/badlogic/gdx/e/a/b/l/drawChildren(com.badlogic.gdx.graphics.g2d.i,float) com/badlogic/gdx/e/a/b/l/computeTransform('
'om/badlogic/gdx/utils/g/a(java.lang.String)','java/lang/Class/getResourceAsStream(java.lang.String) java/io/InputStream/read(byte[]) java/lang/StringBuilder/append(java.lang.String) java/lang/Long/toString(long) java/util/zip/CRC32/CRC32() java/io/InputStream/close() java/lang/StringBuilder/StringBuilder() java/util/zip/CRC32/update(byte[],int,int) java/lang/StringBuilder/toString() java/util/zip/CRC32/getValue('
'om/badlogic/gdx/utils/g/b(java.lang.String,java.lang.String)','java/lang/Class/getResourceAsStream(java.lang.String) java/io/File/File(java.io.File,java.lang.String) java/io/InputStream/read(byte[]) java/lang/StringBuilder/append(java.lang.String) java/io/File/exists() java/lang/StringBuilder/StringBuilder() java/io/File/getAbsolutePath() java/io/File/mkdirs() java/io/FileOutputStream/close() java/io/FileOutputStream/FileOutputStream(java.io.File) java/lang/StringBuilder/toString() java/io/FileOutputStream/write(byte[],int,int) java/io/InputStream/close('
