@relation project
 @attribute fqCaller string 
  @attribute fqCalls string 
 @data 
'et/formula97/andorid/car_kei_bo/MileageList$3/onClick(android.content.DialogInterface,int)','android/widget/Toast/show() net/formula97/andorid/car_kei_bo/MileageList/getApplicationContext() net/formula97/andorid/car_kei_bo/MileageList/getString(int) java/lang/StringBuilder/StringBuilder(java.lang.String) android/util/Log/i(java.lang.String,java.lang.String) java/lang/StringBuilder/toString() java/lang/String/valueOf(int'
'et/formula97/andorid/car_kei_bo/CarList$2/onClick(android.content.DialogInterface,int)','net/formula97/andorid/car_kei_bo/CarList/getApplicationContext() net/formula97/andorid/car_kei_bo/CarList/getString(int) java/lang/StringBuilder/append(java.lang.String) android/widget/Toast/makeText(android.content.Context,java.lang.CharSequence,int) android/widget/Toast/show() android/util/Log/d(java.lang.String,java.lang.String) java/lang/String/valueOf(java.lang.Object) java/lang/StringBuilder/StringBuilder(java.lang.String) java/lang/StringBuilder/toString() java/lang/String/valueOf(int'
'et/formula97/andorid/car_kei_bo/ShowStats/onResume()','java/lang/StringBuilder/append(java.lang.String) android/content/SharedPreferences/getString(java.lang.String,java.lang.String) net/formula97/andorid/car_kei_bo/DbManager/getReadableDatabase() android/widget/Spinner/setOnItemSelectedListener(android.widget.AdapterView$OnItemSelectedListener) android/widget/Spinner/setSelection(int) java/lang/StringBuilder/StringBuilder(java.lang.String) android/util/Log/i(java.lang.String,java.lang.String) java/lang/Integer/parseInt(java.lang.String) android/preference/PreferenceManager/getDefaultSharedPreferences(android.content.Context) android/app/Activity/onResume() java/lang/StringBuilder/toString() java/lang/String/valueOf(int'
'et/formula97/andorid/car_kei_bo/ShowStats/getStatDataArray(android.database.sqlite.SQLiteDatabase,double[][],int,int)','java/util/ArrayList/ArrayList() java/lang/String/valueOf(java.lang.Object) java/lang/StringBuilder/append(java.lang.String) java/math/BigDecimal/setScale(int,int) java/util/ArrayList/add(java.lang.Object) android/util/Log/d(java.lang.String,java.lang.String) java/math/BigDecimal/doubleValue() java/lang/String/valueOf(double) java/lang/StringBuilder/StringBuilder(java.lang.String) android/util/Log/i(java.lang.String,java.lang.String) java/util/HashMap/HashMap() java/util/HashMap/put(java.lang.Object,java.lang.Object) java/math/BigDecimal/BigDecimal(java.lang.String) java/lang/String/substring(int,int) java/lang/StringBuilder/toString() java/lang/String/valueOf(int'
'et/formula97/andorid/car_kei_bo/MileageList/onContextItemSelected(android.view.MenuItem)','android/app/Activity/onContextItemSelected(android.view.MenuItem) android/app/AlertDialog$Builder/setNegativeButton(int,android.content.DialogInterface$OnClickListener) android/app/AlertDialog$Builder/setCancelable(boolean) android/app/AlertDialog$Builder/setMessage(java.lang.CharSequence) android/app/AlertDialog$Builder/AlertDialog$Builder(android.content.Context) android/app/AlertDialog$Builder/setPositiveButton(int,android.content.DialogInterface$OnClickListener) android/app/AlertDialog$Builder/setTitle(java.lang.CharSequence) android/view/MenuItem/getItemId() net/formula97/andorid/car_kei_bo/MileageList/getString(int) android/database/Cursor/close() android/app/AlertDialog$Builder/show() android/database/Cursor/getDouble(int'
'et/formula97/andorid/car_kei_bo/MileageList/callEditMileage(int,int,java.lang.String)','android/content/Intent/putExtra(java.lang.String,java.lang.String) net/formula97/andorid/car_kei_bo/MileageList/startActivity(android.content.Intent) android/content/Intent/Intent(android.content.Context,java.lang.Class) java/lang/StringBuilder/append(java.lang.String) java/lang/StringBuilder/StringBuilder(java.lang.String) android/content/Intent/putExtra(java.lang.String,int) android/util/Log/d(java.lang.String,java.lang.String) net/formula97/andorid/car_kei_bo/MileageList/getApplicationContext() android/content/Intent/putExtra(java.lang.String,boolean) java/lang/StringBuilder/toString() java/lang/String/valueOf(int'
'et/formula97/andorid/car_kei_bo/MileageList/onCreate(android.os.Bundle)','net/formula97/andorid/car_kei_bo/MileageList/getResources() java/lang/Object/toString() android/app/AlertDialog$Builder/setTitle(int) android/app/Activity/onCreate(android.os.Bundle) android/app/AlertDialog$Builder/setPositiveButton(java.lang.CharSequence,android.content.DialogInterface$OnClickListener) net/formula97/andorid/car_kei_bo/MileageList/getIntent() java/lang/StringBuilder/append(java.lang.String) net/formula97/andorid/car_kei_bo/MileageList/setContentView(int) android/content/Intent/getIntExtra(java.lang.String,int) android/app/AlertDialog$Builder/setCancelable(boolean) android/widget/TextView/setText(java.lang.CharSequence) java/lang/StringBuilder/StringBuilder(java.lang.String) net/formula97/andorid/car_kei_bo/MileageList/findViewById(int) android/util/Log/d(java.lang.String,java.lang.String) android/content/Intent/getStringExtra(java.lang.String) android/app/AlertDialog$Builder/AlertDialog$Builder(android.content.Context) java/lang/StringBuilder/toString() java/lang/String/valueOf(int'
'et/formula97/andorid/car_kei_bo/MileageList/onCreateContextMenu(android.view.ContextMenu,android.view.View,android.view.ContextMenu$ContextMenuInfo)','android/database/Cursor/getColumnIndex(java.lang.String) net/formula97/andorid/car_kei_bo/MileageList/getMenuInflater() android/view/ContextMenu/setHeaderTitle(java.lang.CharSequence) android/app/Activity/onCreateContextMenu(android.view.ContextMenu,android.view.View,android.view.ContextMenu$ContextMenuInfo) net/formula97/andorid/car_kei_bo/MileageList/getString(int) android/database/Cursor/close() android/view/MenuInflater/inflate(int,android.view.Menu) android/widget/ListView/getItemAtPosition(int) android/database/Cursor/getInt(int'
'et/formula97/andorid/car_kei_bo/MileageList/onResume()','android/widget/ListView/setAdapter(android.widget.ListAdapter) android/view/Display/getWidth() java/lang/String/valueOf(java.lang.Object) java/lang/StringBuilder/append(java.lang.String) android/widget/TextView/setText(java.lang.CharSequence) java/lang/StringBuilder/StringBuilder(java.lang.String) android/widget/ListView/setOnItemClickListener(android.widget.AdapterView$OnItemClickListener) android/widget/Button/setOnClickListener(android.view.View$OnClickListener) android/widget/SimpleCursorAdapter/SimpleCursorAdapter(android.content.Context,int,android.database.Cursor,java.lang.String[],int[]) net/formula97/andorid/car_kei_bo/MileageList/registerForContextMenu(android.view.View) java/lang/String/valueOf(double) android/widget/Button/setWidth(int) net/formula97/andorid/car_kei_bo/DbManager/getReadableDatabase() android/widget/Button/setEnabled(boolean) android/view/WindowManager/getDefaultDisplay() net/formula97/andorid/car_kei_bo/MileageList/getApplicationContext() android/database/Cursor/getCount() android/app/Activity/onResume() net/formula97/andorid/car_kei_bo/MileageList/getWindowManager() java/lang/StringBuilder/toString('
'et/formula97/andorid/car_kei_bo/AddMyCar/onClickAddCar(android.view.View)','net/formula97/andorid/car_kei_bo/DbManager/close() android/text/SpannableStringBuilder/toString() java/lang/StringBuilder/append(java.lang.String) android/widget/TextView/getText() android/widget/TextView/setText(java.lang.CharSequence) android/widget/CheckBox/isChecked() net/formula97/andorid/car_kei_bo/DbManager/getWritableDatabase() java/lang/String/valueOf(long) android/widget/Spinner/getSelectedItem() android/widget/CheckBox/setChecked(boolean) android/util/Log/w(java.lang.String,java.lang.String) java/lang/StringBuilder/StringBuilder(java.lang.String) android/util/Log/i(java.lang.String,java.lang.String) java/lang/StringBuilder/toString() java/lang/String/valueOf(int'
