@relation project
 @attribute fqCaller string 
  @attribute fqCalls string 
 @data 
'rg/opencv/android/AsyncServiceHelper/initOpenCVLibs(java.lang.String,java.lang.String)','android/util/Log/d(java.lang.String,java.lang.String) java/util/StringTokenizer/nextToken() java/util/StringTokenizer/hasMoreTokens() java/lang/StringBuilder/toString() java/lang/StringBuilder/append(java.lang.String) java/util/StringTokenizer/StringTokenizer(java.lang.String,java.lang.String'
'rg/opencv/android/BaseLoaderCallback/onManagerConnected(int)','android/app/AlertDialog/setMessage(java.lang.CharSequence) android/app/AlertDialog/show() android/util/Log/e(java.lang.String,java.lang.String) android/util/Log/d(java.lang.String,java.lang.String) android/app/AlertDialog$Builder/create() android/app/AlertDialog$Builder/AlertDialog$Builder(android.content.Context) android/app/AlertDialog/setTitle(java.lang.CharSequence) android/app/AlertDialog/setCancelable(boolean) android/app/AlertDialog/setButton(int,java.lang.CharSequence,android.content.DialogInterface$OnClickListener'
'rg/opencv/android/BaseLoaderCallback/onPackageInstall(int,org.opencv.android.InstallCallbackInterface)','java/lang/StringBuilder/append(java.lang.String) android/app/AlertDialog/setMessage(java.lang.CharSequence) java/lang/StringBuilder/StringBuilder(java.lang.String) android/app/AlertDialog/show() android/app/AlertDialog$Builder/create() android/app/AlertDialog$Builder/AlertDialog$Builder(android.content.Context) android/app/AlertDialog/setTitle(java.lang.CharSequence) java/lang/StringBuilder/toString() java/lang/String/valueOf(java.lang.Object) android/app/AlertDialog/setCancelable(boolean) android/app/AlertDialog/setButton(int,java.lang.CharSequence,android.content.DialogInterface$OnClickListener'
'rg/opencv/android/AsyncServiceHelper$1/onServiceConnected(android.content.ComponentName,android.os.IBinder)','android/content/Context/unbindService(android.content.ServiceConnection) java/lang/String/split(java.lang.String) java/lang/StringBuilder/append(int) java/lang/String/length() java/lang/StringBuilder/append(java.lang.String) java/lang/StringBuilder/StringBuilder(java.lang.String) android/util/Log/i(java.lang.String,java.lang.String) android/os/RemoteException/printStackTrace() java/lang/System/getProperty(java.lang.String) android/util/Log/d(java.lang.String,java.lang.String) java/lang/StringBuilder/toString('
'rg/opencv/android/StaticHelper/initOpenCV(boolean)','java/lang/String/split(java.lang.String) java/lang/StringBuilder/append(java.lang.String) android/util/Log/e(java.lang.String,java.lang.String) java/lang/System/loadLibrary(java.lang.String) java/lang/StringBuilder/toString() java/lang/StringBuilder/StringBuilder(java.lang.String) android/util/Log/i(java.lang.String,java.lang.String) java/lang/System/getProperty(java.lang.String) android/util/Log/d(java.lang.String,java.lang.String'
'rg/opencv/android/CameraGLRendererBase/drawTex(int,boolean,int)','android/opengl/GLES20/glGetUniformLocation(int,java.lang.String) android/opengl/GLES20/glUniform1i(int,int) android/opengl/GLES20/glVertexAttribPointer(int,int,int,boolean,int,java.nio.Buffer) android/opengl/GLES20/glClear(int) android/opengl/GLES20/glDrawArrays(int,int,int) org/opencv/android/CameraGLSurfaceView/getWidth() android/opengl/GLES20/glActiveTexture(int) org/opencv/android/CameraGLSurfaceView/getHeight() android/opengl/GLES20/glBindFramebuffer(int,int) android/opengl/GLES20/glViewport(int,int,int,int) android/opengl/GLES20/glUseProgram(int) android/opengl/GLES20/glBindTexture(int,int) android/opengl/GLES20/glFlush('
'rg/opencv/android/CameraGLRendererBase/loadShader(java.lang.String,java.lang.String)','android/opengl/GLES20/glCreateProgram() android/opengl/GLES20/glDeleteProgram(int) android/opengl/GLES20/glCompileShader(int) java/lang/StringBuilder/append(java.lang.String) android/opengl/GLES20/glDeleteShader(int) android/opengl/GLES20/glGetShaderiv(int,int,int[],int) android/opengl/GLES20/glAttachShader(int,int) java/lang/StringBuilder/StringBuilder(java.lang.String) android/opengl/GLES20/glValidateProgram(int) android/util/Log/e(java.lang.String,java.lang.String) android/opengl/GLES20/glGetProgramInfoLog(int) android/opengl/GLES20/glCreateShader(int) android/opengl/GLES20/glShaderSource(int,java.lang.String) android/opengl/GLES20/glLinkProgram(int) android/util/Log/d(java.lang.String,java.lang.String) android/opengl/GLES20/glGetProgramiv(int,int,int[],int) java/lang/StringBuilder/toString() android/opengl/GLES20/glGetShaderInfoLog(int'
'rg/opencv/android/CameraGLRendererBase/initFBO(int,int)','android/opengl/GLES20/glGenFramebuffers(int,int[],int) android/opengl/GLES20/glCheckFramebufferStatus(int) android/opengl/GLES20/glTexImage2D(int,int,int,int,int,int,int,int,java.nio.Buffer) java/lang/StringBuilder/append(java.lang.String) java/lang/StringBuilder/append(int) android/opengl/GLES20/glBindFramebuffer(int,int) android/opengl/GLES20/glTexParameteri(int,int,int) android/util/Log/e(java.lang.String,java.lang.String) android/util/Log/d(java.lang.String,java.lang.String) android/opengl/GLES20/glBindTexture(int,int) java/lang/StringBuilder/toString() android/opengl/GLES20/glGenTextures(int,int[],int) android/opengl/GLES20/glFramebufferTexture2D(int,int,int,int,int) android/opengl/GLES20/glGetError() java/lang/StringBuilder/StringBuilder(java.lang.String'
'i/iki/elonen/NanoHTTPD$HTTPSession/parseBody(java.util.Map)','java/lang/Math/min(long,long) java/nio/channels/FileChannel/map(java.nio.channels.FileChannel$MapMode,long,long) java/io/BufferedReader/read(char[]) java/io/FileInputStream/FileInputStream(java.io.FileDescriptor) java/io/RandomAccessFile/length() java/lang/String/valueOf(char[],int,int) java/util/StringTokenizer/hasMoreTokens() java/io/RandomAccessFile/getFD() java/io/PushbackInputStream/read(byte[],int,int) java/lang/String/equalsIgnoreCase(java.lang.String) java/util/Map/put(java.lang.Object,java.lang.Object) java/util/StringTokenizer/StringTokenizer(java.lang.String,java.lang.String) java/lang/String/trim() java/io/RandomAccessFile/seek(long) java/lang/StringBuilder/append(java.lang.String) java/lang/String/length() java/util/Map/get(java.lang.Object) fi/iki/elonen/NanoHTTPD$Method/equals(java.lang.Object) java/lang/String/substring(int,int) java/lang/StringBuilder/StringBuilder() java/lang/String/indexOf(java.lang.String) java/io/InputStreamReader/InputStreamReader(java.io.InputStream) java/util/Map/containsKey(java.lang.Object) java/lang/Integer/parseInt(java.lang.String) java/io/BufferedReader/BufferedReader(java.io.Reader) java/lang/String/startsWith(java.lang.String) java/nio/ByteBuffer/limit() java/io/RandomAccessFile/write(byte[],int,int) java/util/StringTokenizer/nextToken() java/io/RandomAccessFile/getChannel() java/lang/StringBuilder/toString() java/lang/String/endsWith(java.lang.String'
'i/iki/elonen/NanoHTTPD$HTTPSession/saveTmpFile(java.nio.ByteBuffer,int,int)','java/nio/Buffer/limit(int) java/io/FileOutputStream/FileOutputStream(java.lang.String) java/nio/ByteBuffer/position(int) java/nio/channels/FileChannel/write(java.nio.ByteBuffer) java/nio/ByteBuffer/duplicate() java/lang/StringBuilder/append(java.lang.String) java/io/PrintStream/println(java.lang.String) java/lang/StringBuilder/StringBuilder(java.lang.String) java/nio/ByteBuffer/slice() java/lang/StringBuilder/toString() java/io/FileOutputStream/getChannel() java/lang/Exception/getMessage('
