@relation project
 @attribute fqCaller string 
  @attribute fqCalls string 
 @data 
'om/greenlog/smarttorch/ShakeSensitivityCalibrateDialog/onCreate(android.os.Bundle)','com/greenlog/smarttorch/ShakeSensitivityCalibrateDialog/setContentView(int) com/greenlog/smarttorch/ShakeSensitivityCalibrateDialog/findViewById(int) android/os/Handler/Handler() java/util/Date/getTime() java/util/Timer/Timer() android/content/Context/getResources() com/greenlog/smarttorch/ShakeSensitivityCalibrateDialog/setTitle(int) java/util/Date/Date('
'om/greenlog/smarttorch/TorchCamera/turn(boolean)','android/hardware/Camera/release() android/util/Log/v(java.lang.String,java.lang.String) android/hardware/Camera/open() android/view/SurfaceHolder/addCallback(android.view.SurfaceHolder$Callback) java/lang/StringBuilder/StringBuilder(java.lang.String) java/lang/StringBuilder/append(boolean) android/hardware/Camera/getParameters() android/hardware/Camera/startPreview() android/hardware/Camera/setParameters(android.hardware.Camera$Parameters) android/hardware/Camera$Parameters/setFlashMode(java.lang.String) android/view/SurfaceView/getHolder() java/lang/StringBuilder/toString() android/hardware/Camera/stopPreview('
'om/greenlog/smarttorch/SmartTorchService/updateWidgets()','android/content/Intent/setData(android.net.Uri) android/content/Intent/Intent(android.content.Context,java.lang.Class) android/content/Intent/toUri(int) android/widget/RemoteViews/setRemoteAdapter(int,int,android.content.Intent) android/appwidget/AppWidgetManager/getAppWidgetIds(android.content.ComponentName) android/app/PendingIntent/getBroadcast(android.content.Context,int,android.content.Intent,int) android/widget/RemoteViews/RemoteViews(java.lang.String,int) android/content/Intent/setAction(java.lang.String) android/content/Intent/putExtra(java.lang.String,int) android/net/Uri/parse(java.lang.String) com/greenlog/smarttorch/SmartTorchService/getPackageName() android/appwidget/AppWidgetManager/updateAppWidget(int,android.widget.RemoteViews) android/appwidget/AppWidgetManager/getInstance(android.content.Context) android/widget/RemoteViews/setPendingIntentTemplate(int,android.app.PendingIntent) android/widget/RemoteViews/setRemoteAdapter(int,android.content.Intent) android/widget/RemoteViews/setOnClickPendingIntent(int,android.app.PendingIntent) android/widget/RemoteViews/setViewVisibility(int,int) android/content/ComponentName/ComponentName(android.content.Context,java.lang.Class'
'om/greenlog/smarttorch/SmartTorchService/updateNotification()','android/app/PendingIntent/getService(android.content.Context,int,android.content.Intent,int) com/greenlog/smarttorch/SmartTorchService/startForeground(int,android.app.Notification) android/content/Intent/Intent(android.content.Context,java.lang.Class) com/greenlog/smarttorch/SmartTorchService/getString(int,java.lang.Object[]) android/app/Notification$Builder/build() android/app/NotificationManager/notify(int,android.app.Notification) android/content/Intent/setAction(java.lang.String) android/app/Notification$Builder/Notification$Builder(android.content.Context) android/app/Notification$Builder/setPriority(int) android/app/Notification$Builder/getNotification() com/greenlog/smarttorch/SmartTorchService/getString(int) android/app/Notification$Builder/setSmallIcon(int) android/app/Notification$Builder/setContentTitle(java.lang.CharSequence) android/app/Notification$Builder/setContentIntent(android.app.PendingIntent) android/app/Notification$Builder/setContentText(java.lang.CharSequence'
'om/greenlog/smarttorch/SettingsManager/writeTorchModes(com.greenlog.smarttorch.TorchModes)','com/greenlog/smarttorch/TorchModes/get(int) java/lang/StringBuilder/append(int) android/content/SharedPreferences$Editor/commit() com/greenlog/smarttorch/TorchModes/size() java/lang/StringBuilder/toString() android/content/SharedPreferences$Editor/putBoolean(java.lang.String,boolean) java/lang/StringBuilder/StringBuilder(java.lang.String) android/content/SharedPreferences$Editor/putInt(java.lang.String,int) android/content/SharedPreferences/edit('
'om/greenlog/smarttorch/SmartTorchWidget/onReceive(android.content.Context,android.content.Intent)','java/lang/String/hashCode() android/content/Intent/Intent(android.content.Context,java.lang.Class) android/content/Intent/getAction() android/content/Intent/putExtras(android.os.Bundle) java/lang/String/equals(java.lang.Object) android/content/Intent/getExtras() android/content/Intent/setFlags(int) android/os/Handler/Handler() android/appwidget/AppWidgetProvider/onReceive(android.content.Context,android.content.Intent) android/os/Handler/postDelayed(java.lang.Runnable,long) android/content/Context/startActivity(android.content.Intent'
'om/greenlog/smarttorch/SmartTorchWidgetConfigure/onCreate(android.os.Bundle)','android/widget/ArrayAdapter/setDropDownViewResource(int) android/app/Activity/onCreate(android.os.Bundle) android/content/Intent/getExtras() android/widget/Button/setOnClickListener(android.view.View$OnClickListener) android/widget/CheckBox/setChecked(boolean) com/greenlog/smarttorch/SmartTorchWidgetConfigure/getSystemService(java.lang.String) android/widget/StackView/setSelection(int) com/greenlog/smarttorch/SmartTorchWidgetConfigure/getResources() com/greenlog/smarttorch/SmartTorchWidgetConfigure/setContentView(int) android/widget/ArrayAdapter/createFromResource(android.content.Context,int,int) android/content/Intent/getAction() android/content/res/Resources/getIntArray(int) android/os/Bundle/getFloat(java.lang.String,float) android/os/Bundle/getBundle(java.lang.String) android/os/Bundle/getBoolean(java.lang.String,boolean) android/os/Bundle/getInt(java.lang.String,int) android/widget/ArrayAdapter/ArrayAdapter(android.content.Context,int) com/greenlog/smarttorch/SmartTorchWidgetConfigure/findViewById(int) android/widget/CheckBox/setOnCheckedChangeListener(android.widget.CompoundButton$OnCheckedChangeListener) java/lang/String/equals(java.lang.Object) com/greenlog/smarttorch/SmartTorchWidgetConfigure/getIntent() android/widget/StackView/setAdapter(android.widget.Adapter) android/hardware/SensorManager/getDefaultSensor(int) com/greenlog/smarttorch/SmartButton/setClickable(boolean) com/greenlog/smarttorch/SmartTorchWidgetConfigure/setResult(int) com/greenlog/smarttorch/SmartButton/setOnClickListener(android.view.View$OnClickListener) com/greenlog/smarttorch/SmartSpinner/setAdapter(android.widget.SpinnerAdapter) android/os/Handler/post(java.lang.Runnable) android/os/Handler/Handler() android/widget/ArrayAdapter/add(java.lang.Object) android/widget/LinearLayout/setVisibility(int'
'om/greenlog/smarttorch/SmartTorchWidgetConfigure/moveFlyingTorchTo(android.view.View,android.view.View,java.lang.Runnable)','android/widget/ImageView/setTranslationY(float) android/widget/ImageView/setVisibility(int) android/view/ViewPropertyAnimator/translationY(float) android/view/ViewPropertyAnimator/translationX(float) android/view/ViewPropertyAnimator/alpha(float) android/widget/ImageView/setAlpha(float) android/widget/ImageView/setScaleY(float) android/view/ViewPropertyAnimator/scaleY(float) android/view/ViewPropertyAnimator/scaleX(float) android/widget/ImageView/setTranslationX(float) android/widget/ImageView/animate() android/view/ViewPropertyAnimator/setListener(android.animation.Animator$AnimatorListener) android/widget/ImageView/setScaleX(float'
'om/greenlog/smarttorch/Utils/formatTimerTime(android.content.Context,long,boolean)','java/lang/String/valueOf(java.lang.Object) java/lang/StringBuilder/append(java.lang.String) android/content/Context/getString(int) java/lang/StringBuilder/StringBuilder(java.lang.String) android/content/res/Resources/getQuantityString(int,int,java.lang.Object[]) java/lang/Integer/valueOf(int) android/content/Context/getString(int,java.lang.Object[]) java/lang/StringBuilder/toString() android/content/Context/getResources('
'om/greenlog/smarttorch/TorchCamera$PreviewHolder/surfaceCreated(android.view.SurfaceHolder)','android/util/Log/v(java.lang.String,java.lang.String) android/hardware/Camera/setPreviewDisplay(android.view.SurfaceHolder) java/lang/StringBuilder/append(java.lang.String) java/util/concurrent/locks/Lock/lock() java/lang/StringBuilder/StringBuilder(java.lang.String) android/util/Log/e(java.lang.String,java.lang.String) java/io/IOException/getLocalizedMessage() java/lang/StringBuilder/toString() android/hardware/Camera/startPreview() java/util/concurrent/locks/Lock/unlock('
