@relation project
 @attribute fqCaller string 
  @attribute fqCalls string 
 @data 
'avax/jmdns/impl/DNSQuestion/addAnswersForServiceInfo(javax.jmdns.impl.JmDNSImpl,java.util.Set,javax.jmdns.impl.ServiceInfoImpl)','javax/jmdns/impl/DNSQuestion/getName() java/lang/StringBuilder/StringBuilder() java/lang/StringBuilder/append(java.lang.Object) java/util/logging/Logger/finer(java.lang.String) java/lang/StringBuilder/toString() java/util/logging/Logger/isLoggable(java.util.logging.Level'
'avax/jmdns/impl/DNSIncoming/toString()','java/util/Iterator/hasNext() java/lang/StringBuilder/append(int) javax/jmdns/impl/DNSIncoming/isQuery() java/net/DatagramPacket/getPort() java/lang/Integer/toHexString(int) java/util/Iterator/next() java/net/DatagramPacket/getLength() java/lang/StringBuilder/append(char) java/util/List/iterator() javax/jmdns/impl/DNSIncoming/getId() java/net/InetAddress/getHostAddress() javax/jmdns/impl/DNSIncoming/getNumberOfQuestions() javax/jmdns/impl/DNSIncoming/getNumberOfAnswers() java/lang/StringBuilder/append(java.lang.String) java/lang/StringBuilder/StringBuilder() javax/jmdns/impl/DNSIncoming/getNumberOfAuthorities() java/lang/StringBuilder/append(java.lang.Object) javax/jmdns/impl/DNSIncoming/getFlags() java/lang/StringBuilder/toString() java/net/DatagramPacket/getAddress() javax/jmdns/impl/DNSIncoming/getNumberOfAdditionals('
'avax/jmdns/impl/DNSIncoming/readAnswer(java.net.InetAddress)','java/lang/StringBuilder/append(int) java/util/logging/Logger/log(java.util.logging.Level,java.lang.String) java/util/logging/Logger/fine(java.lang.String) java/lang/StringBuilder/substring(int,int) javax/jmdns/impl/constants/DNSOptionCode/resultCodeForFlags(int) java/util/logging/Logger/warning(java.lang.String) javax/jmdns/impl/constants/DNSRecordType/ordinal() java/lang/StringBuilder/substring(int) javax/jmdns/impl/constants/DNSResultCode/resultCodeForFlags(int,int) java/lang/StringBuilder/indexOf(java.lang.String) javax/jmdns/impl/DNSIncoming$MessageInputStream/skip(long) java/lang/StringBuilder/append(java.lang.String) java/lang/String/trim() java/lang/String/length() javax/jmdns/impl/constants/DNSRecordType/typeForIndex(int) java/lang/StringBuilder/StringBuilder() java/lang/StringBuilder/append(java.lang.Object) javax/jmdns/impl/constants/DNSOptionCode/ordinal() javax/jmdns/impl/DNSIncoming/getFlags() javax/jmdns/impl/DNSIncoming$MessageInputStream/available() javax/jmdns/impl/constants/DNSRecordClass/isUnique(int) java/util/logging/Logger/finer(java.lang.String) javax/jmdns/impl/constants/DNSRecordClass/classForIndex(int) java/lang/StringBuilder/toString() java/util/logging/Logger/isLoggable(java.util.logging.Level'
'avax/jmdns/impl/NetworkTopologyDiscoveryImpl/getInetAddresses()','java/util/logging/Logger/finest(java.lang.String) java/util/logging/Logger/warning(java.lang.String) java/net/NetworkInterface/getNetworkInterfaces() java/lang/StringBuilder/StringBuilder() java/net/NetworkInterface/getInetAddresses() java/util/Set/toArray(java.lang.Object[]) java/util/HashSet/HashSet() java/util/Set/size() java/lang/StringBuilder/append(java.lang.String) java/lang/StringBuilder/append(java.lang.Object) java/util/Enumeration/hasMoreElements() java/util/Enumeration/nextElement() java/util/Set/add(java.lang.Object) java/lang/StringBuilder/toString() java/util/logging/Logger/isLoggable(java.util.logging.Level'
'k/co/immutablefix/ClockControl/DnssdDiscovery/getHostList(int,java.lang.String[])','java/net/InetAddress/getHostAddress() android/net/wifi/WifiManager$MulticastLock/release() java/lang/String/split(java.lang.String) java/net/MulticastSocket/receive(java.net.DatagramPacket) java/lang/String/charAt(int) java/net/MulticastSocket/MulticastSocket() java/net/MulticastSocket/setTimeToLive(int) java/lang/String/length() java/util/ArrayList/toArray(java.lang.Object[]) android/net/wifi/WifiManager$MulticastLock/acquire() java/net/SocketException/printStackTrace() java/util/ArrayList/size() java/util/List/add(java.lang.Object) java/lang/String/startsWith(java.lang.String) java/io/ByteArrayOutputStream/ByteArrayOutputStream() android/net/wifi/WifiManager/createMulticastLock(java.lang.String) java/net/DatagramPacket/DatagramPacket(byte[],int,java.net.InetAddress,int) java/net/DatagramPacket/DatagramPacket(byte[],int) java/io/IOException/printStackTrace() java/util/ArrayList/ArrayList(java.util.Collection) java/net/MulticastSocket/close() java/lang/String/String(byte[],java.lang.String) java/io/ByteArrayOutputStream/size() java/util/Collections/sort(java.util.List) java/net/MulticastSocket/setSoTimeout(int) java/io/ByteArrayOutputStream/write(int) java/io/ByteArrayOutputStream/toByteArray() java/net/MulticastSocket/send(java.net.DatagramPacket) android/content/Context/getSystemService(java.lang.String) java/util/List/set(int,java.lang.Object) java/net/DatagramPacket/getAddress() android/net/wifi/WifiManager$MulticastLock/setReferenceCounted(boolean) java/util/List/indexOf(java.lang.Object) java/net/InetAddress/getByName(java.lang.String'
'k/co/immutablefix/ClockControl/DnssdDiscovery/getHostAddress(java.lang.String)','java/net/InetAddress/getHostAddress() android/net/wifi/WifiManager$MulticastLock/release() java/net/MulticastSocket/receive(java.net.DatagramPacket) java/net/MulticastSocket/MulticastSocket() java/net/MulticastSocket/setTimeToLive(int) java/net/MulticastSocket/close() android/net/wifi/WifiManager$MulticastLock/acquire() java/net/SocketException/printStackTrace() java/util/List/add(java.lang.Object) java/lang/String/contains(java.lang.CharSequence) android/content/Context/getSystemService(java.lang.String) java/io/ByteArrayOutputStream/ByteArrayOutputStream() android/net/wifi/WifiManager/createMulticastLock(java.lang.String) java/net/DatagramPacket/DatagramPacket(byte[],int,java.net.InetAddress,int) java/net/DatagramPacket/DatagramPacket(byte[],int) java/io/IOException/printStackTrace() java/lang/StringBuilder/append(java.lang.String) java/lang/String/charAt(int) java/lang/StringBuilder/StringBuilder() java/lang/String/indexOf(java.lang.String) java/io/ByteArrayOutputStream/size() java/net/MulticastSocket/setSoTimeout(int) java/io/ByteArrayOutputStream/write(int) java/io/ByteArrayOutputStream/write(byte[]) java/util/List/get(int) java/io/ByteArrayOutputStream/toByteArray() java/net/MulticastSocket/send(java.net.DatagramPacket) java/lang/StringBuilder/toString() java/net/DatagramPacket/getAddress() android/net/wifi/WifiManager$MulticastLock/setReferenceCounted(boolean) java/util/List/indexOf(java.lang.Object) java/net/InetAddress/getByName(java.lang.String'
'avax/jmdns/impl/DNSQuestion$AllRecords/addAnswers(javax.jmdns.impl.JmDNSImpl,java.util.Set)','javax/jmdns/impl/DNSQuestion$AllRecords/isUnique() java/lang/String/equalsIgnoreCase(java.lang.String) java/lang/String/toLowerCase() java/util/Set/addAll(java.util.Collection) java/util/Map/get(java.lang.Object) javax/jmdns/impl/DNSQuestion$AllRecords/getRecordClass() javax/jmdns/impl/DNSQuestion$AllRecords/addAnswersForServiceInfo(javax.jmdns.impl.JmDNSImpl,java.util.Set,javax.jmdns.impl.ServiceInfoImpl) javax/jmdns/impl/DNSQuestion$AllRecords/getName() java/util/Map/containsKey(java.lang.Object'
'avax/jmdns/impl/HostInfo/newHostInfo(java.net.InetAddress,javax.jmdns.impl.JmDNSImpl,java.lang.String)','java/net/InetAddress/getHostAddress() java/util/logging/Logger/warning(java.lang.String) java/net/InetAddress/getLocalHost() java/lang/StringBuilder/append(java.lang.String) java/net/InetAddress/isLoopbackAddress() java/lang/String/length() java/lang/String/equals(java.lang.Object) java/util/logging/Logger/log(java.util.logging.Level,java.lang.String,java.lang.Throwable) java/net/InetAddress/getHostName() java/lang/String/replace(char,char) java/io/IOException/getMessage() java/lang/System/getProperty(java.lang.String) java/lang/StringBuilder/StringBuilder() java/lang/StringBuilder/append(java.lang.Object) java/lang/String/contains(java.lang.CharSequence) java/lang/StringBuilder/toString() java/net/InetAddress/getByName(java.lang.String'
'avax/jmdns/impl/JmDNSImpl$ServiceCollector/toString()','java/util/concurrent/ConcurrentMap/keySet() java/util/Iterator/hasNext() java/lang/StringBuffer/append(java.lang.Object) java/util/Iterator/next() java/lang/StringBuffer/toString() java/util/Set/iterator() java/lang/StringBuffer/StringBuffer() java/util/concurrent/ConcurrentMap/isEmpty() java/util/concurrent/ConcurrentMap/get(java.lang.Object) java/lang/StringBuffer/append(java.lang.String'
'avax/jmdns/test/TextUpdateTest/testListenForTextUpdateOnOtherRegistry()','java/lang/Thread/sleep(long) javax/jmdns/JmDNS/close() java/util/List/size() java/util/HashMap/HashMap() junit/framework/Assert/assertNotNull(java.lang.String,java.lang.Object) java/util/List/get(int) java/lang/String/getBytes() java/util/Map/put(java.lang.Object,java.lang.Object) junit/framework/Assert/assertEquals(java.lang.String,int,int) junit/framework/Assert/assertEquals(java.lang.String,java.lang.Object,java.lang.Object) junit/framework/Assert/assertEquals(java.lang.String,java.lang.String,java.lang.String'
