@relation project
 @attribute fqCaller string 
  @attribute fqCalls string 
 @data 
'rg/mariotaku/anokicert/activity/FilePickerActivity/onCreate(android.os.Bundle)','android/content/SharedPreferences/getString(java.lang.String,java.lang.String) java/io/File/File(java.lang.String) android/content/Intent/getExtras() org/mariotaku/anokicert/activity/FilePickerActivity/getLoaderManager() org/mariotaku/anokicert/activity/FilePickerActivity/getIntent() android/app/ListActivity/onCreate(android.os.Bundle) java/io/File/exists() org/mariotaku/anokicert/activity/FilePickerActivity/getSharedPreferences(java.lang.String,int) android/content/Intent/getData() android/app/LoaderManager/initLoader(int,android.os.Bundle,android.app.LoaderManager$LoaderCallbacks'
'rg/mariotaku/anokicert/activity/FilePickerActivity/onListItemClick(android.widget.ListView,android.view.View,int,long)','android/content/Intent/setData(android.net.Uri) android/app/LoaderManager/restartLoader(int,android.os.Bundle,android.app.LoaderManager$LoaderCallbacks) java/io/File/isDirectory() org/mariotaku/anokicert/activity/FilePickerActivity/finish() java/io/File/isFile() android/content/Intent/Intent() android/net/Uri/fromFile(java.io.File) org/mariotaku/anokicert/activity/FilePickerActivity/getLoaderManager() org/mariotaku/anokicert/activity/FilePickerActivity/getIntent() org/mariotaku/anokicert/activity/FilePickerActivity/setResult(int,android.content.Intent) org/mariotaku/anokicert/activity/FilePickerActivity$FilesAdapter/getItem(int) android/content/Intent/getExtras('
'rg/mariotaku/anokicert/activity/DeviceSelectorActivity/onCreate(android.os.Bundle)','org/mariotaku/anokicert/activity/DeviceSelectorActivity/finish() android/bluetooth/BluetoothAdapter/isEnabled() java/util/Iterator/hasNext() org/mariotaku/anokicert/activity/DeviceSelectorActivity/setContentView(int) java/util/Iterator/next() android/bluetooth/BluetoothAdapter/getDefaultAdapter() java/util/Set/iterator() org/mariotaku/anokicert/activity/DeviceSelectorActivity/setListAdapter(android.widget.ListAdapter) android/bluetooth/BluetoothAdapter/getBondedDevices() android/app/ListActivity/onCreate(android.os.Bundle'
'rg/mariotaku/anokicert/util/ArrayUtils/fromString(java.lang.String,char)','java/lang/Long/valueOf(long) java/lang/Long/longValue() java/util/ArrayList/add(java.lang.Object) java/util/ArrayList/size() java/util/ArrayList/get(int) java/lang/String/valueOf(char) java/util/ArrayList/ArrayList() java/lang/Long/parseLong(java.lang.String) java/lang/String/split(java.lang.String'
'et/tuxed/nokicert/CertListParser/parse()','java/util/ArrayList/ArrayList() java/io/FileInputStream/read(byte[]) java/io/IOException/printStackTrace() java/io/FileInputStream/available() java/io/FileInputStream/read() java/util/ArrayList/add(java.lang.Object) java/lang/String/String(byte[]) java/io/File/length() java/io/FileInputStream/skip(long) java/lang/System/arraycopy(java.lang.Object,int,java.lang.Object,int,int) java/io/FileInputStream/FileInputStream(java.io.File) java/io/FileNotFoundException/printStackTrace('
'et/tuxed/nokicert/NokiCert/installCertificate(java.lang.String,int)','net/tuxed/nokicert/NokiCert/getFile(java.lang.String,java.io.File) java/lang/StringBuilder/StringBuilder(java.lang.String) java/io/FileOutputStream/write(byte[]) java/io/FileOutputStream/close() java/lang/StringBuilder/toString() java/io/FileOutputStream/FileOutputStream(java.io.File,boolean) net/tuxed/nokicert/NokiCert/log(java.lang.Object) java/io/FileOutputStream/flush() java/lang/StringBuilder/append(java.lang.String) net/tuxed/nokicert/NokiCert/putFile(java.lang.String,java.io.File) java/io/File/File(java.lang.String'
'et/tuxed/nokicert/CertParser/parseCert(java.io.InputStream)','java/security/cert/CertificateFactory/generateCertificate(java.io.InputStream) java/security/cert/X509Certificate/getSubjectX500Principal() java/lang/String/substring(int) javax/security/auth/x500/X500Principal/getName(java.lang.String) java/lang/String/startsWith(java.lang.String) java/security/cert/CertificateException/getMessage() javax/security/auth/x500/X500Principal/getName() java/lang/StringBuilder/toString() java/lang/String/split(java.lang.String) java/security/cert/X509Certificate/getIssuerX500Principal() java/lang/StringBuilder/append(java.lang.String) java/lang/String/trim() java/security/cert/CertificateFactory/getInstance(java.lang.String) java/lang/StringBuilder/StringBuilder(java.lang.String'
'et/tuxed/gjokii/Gjokii/dumpFileSystem(java.lang.String,java.lang.String,boolean)','java/util/ArrayList/iterator() java/lang/String/valueOf(java.lang.Object) java/util/Iterator/hasNext() java/lang/StringBuilder/StringBuilder(java.lang.String) java/util/Iterator/next() java/io/File/File(java.lang.String) java/io/File/mkdir() java/lang/StringBuilder/append(java.lang.String) java/io/File/setLastModified(long) java/lang/StringBuilder/toString('
'et/tuxed/gjokii/Gjokii/getFile(java.lang.String,java.io.File)','java/io/DataOutputStream/write(byte[],int,int) java/lang/StringBuilder/StringBuilder(java.lang.String) java/io/FileNotFoundException/getMessage() java/io/DataOutputStream/DataOutputStream(java.io.OutputStream) java/io/File/setLastModified(long) java/lang/StringBuilder/append(java.lang.String) java/io/DataOutputStream/close() java/io/IOException/getMessage() java/io/FileOutputStream/FileOutputStream(java.io.File) java/lang/AssertionError/AssertionError() java/lang/StringBuilder/toString() java/lang/String/endsWith(java.lang.String'
'et/tuxed/gjokii/Gjokii/receive()','java/io/InputStream/read(byte[]) java/lang/StringBuilder/append(int) java/io/IOException/getMessage() java/lang/StringBuilder/StringBuilder(java.lang.String) java/lang/System/arraycopy(java.lang.Object,int,java.lang.Object,int,int) java/lang/StringBuilder/toString() java/lang/Thread/sleep(long) java/io/InputStream/available() java/lang/StringBuilder/append(java.lang.String'
