@relation project
 @attribute fqCaller string 
  @attribute fqCalls string 
 @data 
'rg/elegosproject/romupdater/VersionsList/onJSONDataDownloaded(java.lang.Boolean)','android/app/AlertDialog$Builder/setCancelable(boolean) java/util/Vector/isEmpty() android/app/AlertDialog$Builder/create() android/app/AlertDialog$Builder/AlertDialog$Builder(android.content.Context) java/lang/Boolean/booleanValue() java/lang/StringBuilder/toString() org/elegosproject/romupdater/VersionsList/getString(int) android/widget/ListView/setAdapter(android.widget.ListAdapter) java/lang/String/valueOf(java.lang.Object) java/lang/StringBuilder/StringBuilder(java.lang.String) java/util/Iterator/next() java/util/Collections/sort(java.util.List,java.util.Comparator) android/app/AlertDialog/show() android/app/AlertDialog$Builder/setPositiveButton(java.lang.CharSequence,android.content.DialogInterface$OnClickListener) java/lang/String/equals(java.lang.Object) java/util/Vector/Vector() android/app/AlertDialog$Builder/setMessage(java.lang.CharSequence) java/util/Vector/iterator() java/lang/Integer/parseInt(java.lang.String) android/widget/ArrayAdapter/ArrayAdapter(android.content.Context,int,java.util.List) org/elegosproject/romupdater/VersionsList/finish() java/util/Vector/add(java.lang.Object'
'rg/elegosproject/romupdater/VersionsList/onCreate(android.os.Bundle)','org/elegosproject/romupdater/VersionsList/getString(int) android/content/SharedPreferences/getString(java.lang.String,java.lang.String) android/widget/Toast/makeText(android.content.Context,java.lang.CharSequence,int) android/widget/Toast/show() org/elegosproject/romupdater/VersionsList/setContentView(int) android/app/AlertDialog$Builder/setMessage(java.lang.CharSequence) android/app/AlertDialog$Builder/create() android/preference/PreferenceManager/getDefaultSharedPreferences(android.content.Context) android/app/AlertDialog$Builder/AlertDialog$Builder(android.content.Context) org/elegosproject/romupdater/VersionsList/findViewById(int) android/app/AlertDialog$Builder/setCancelable(boolean) android/app/AlertDialog/show() android/app/AlertDialog$Builder/setPositiveButton(java.lang.CharSequence,android.content.DialogInterface$OnClickListener) java/lang/String/equals(java.lang.Object) android/widget/ListView/setOnItemLongClickListener(android.widget.AdapterView$OnItemLongClickListener) android/widget/ListView/setOnItemClickListener(android.widget.AdapterView$OnItemClickListener'
'rg/elegosproject/romupdater/VersionsList/setMainView()','org/elegosproject/romupdater/VersionsList/getString(int) java/lang/String/valueOf(java.lang.Object) java/lang/StringBuilder/append(java.lang.String) android/app/AlertDialog$Builder/setCancelable(boolean) java/lang/StringBuilder/StringBuilder(java.lang.String) android/app/AlertDialog/show() android/app/AlertDialog$Builder/setMessage(java.lang.CharSequence) android/app/AlertDialog$Builder/create() org/elegosproject/romupdater/VersionsList/finish() java/lang/StringBuilder/toString() android/app/AlertDialog$Builder/setPositiveButton(java.lang.CharSequence,android.content.DialogInterface$OnClickListener) java/lang/String/equals(java.lang.Object) org/elegosproject/romupdater/ROMSuperActivity$DownloadJSON/execute(java.lang.Object[]) android/app/AlertDialog$Builder/AlertDialog$Builder(android.content.Context'
'rg/elegosproject/romupdater/ROMUpdater/onCreate(android.os.Bundle)','org/elegosproject/romupdater/ROMUpdater/getString(int) android/content/SharedPreferences$Editor/putBoolean(java.lang.String,boolean) android/app/AlertDialog/show() org/elegosproject/romupdater/ROMUpdater/setContentView(int) android/widget/ListView/setOnItemClickListener(android.widget.AdapterView$OnItemClickListener) android/app/AlertDialog$Builder/create() android/preference/PreferenceManager/getDefaultSharedPreferences(android.content.Context) org/elegosproject/romupdater/ROMUpdater/findViewById(int) android/app/AlertDialog$Builder/setPositiveButton(int,android.content.DialogInterface$OnClickListener) android/app/AlertDialog$Builder/setNegativeButton(int,android.content.DialogInterface$OnClickListener) android/app/AlertDialog$Builder/setCancelable(boolean) android/content/SharedPreferences$Editor/commit() android/app/AlertDialog$Builder/setMessage(java.lang.CharSequence) android/content/SharedPreferences/edit() android/content/SharedPreferences/getBoolean(java.lang.String,boolean) android/app/AlertDialog$Builder/AlertDialog$Builder(android.content.Context'
'rg/elegosproject/romupdater/Downloads/createDownloadsList()','java/io/File/isDirectory() android/app/AlertDialog$Builder/setCancelable(boolean) android/app/AlertDialog/show() android/app/AlertDialog$Builder/setMessage(java.lang.CharSequence) android/app/AlertDialog$Builder/create() android/widget/ArrayAdapter/ArrayAdapter(android.content.Context,int,java.util.List) java/util/Vector/add(java.lang.Object) android/app/AlertDialog$Builder/AlertDialog$Builder(android.content.Context) java/lang/String/endsWith(java.lang.String) org/elegosproject/romupdater/Downloads/getString(int) android/widget/ListView/setAdapter(android.widget.ListAdapter) java/io/File/list() java/io/File/File(java.lang.String) android/app/AlertDialog$Builder/setPositiveButton(java.lang.CharSequence,android.content.DialogInterface$OnClickListener) java/util/Vector/Vector('
'rg/elegosproject/romupdater/ROMSuperActivity/onOptionsItemSelected(android.view.MenuItem)','org/elegosproject/romupdater/ROMSuperActivity/getString(int) android/app/AlertDialog$Builder/setIcon(int) android/app/AlertDialog$Builder/setTitle(java.lang.CharSequence) java/lang/StringBuilder/append(java.lang.String) org/elegosproject/romupdater/ROMSuperActivity/getPackageManager() android/view/MenuItem/getItemId() android/app/AlertDialog$Builder/setCancelable(boolean) java/lang/StringBuilder/StringBuilder(java.lang.String) android/app/AlertDialog/show() android/app/Activity/onOptionsItemSelected(android.view.MenuItem) android/app/AlertDialog$Builder/setMessage(java.lang.CharSequence) android/app/AlertDialog$Builder/create() org/elegosproject/romupdater/ROMSuperActivity/finish() android/content/pm/PackageManager/getPackageInfo(java.lang.String,int) android/app/AlertDialog$Builder/AlertDialog$Builder(android.content.Context) java/lang/StringBuilder/toString() android/app/AlertDialog$Builder/setPositiveButton(java.lang.CharSequence,android.content.DialogInterface$OnClickListener) java/lang/Exception/printStackTrace('
'rg/elegosproject/romupdater/BuildParser/readProperty(java.lang.String)','java/io/DataInputStream/DataInputStream(java.io.InputStream) java/io/DataInputStream/readLine() java/io/File/File(java.lang.String) java/lang/Exception/printStackTrace() java/lang/String/indexOf(java.lang.String) java/lang/String/substring(int) java/io/DataInputStream/available() java/io/FileInputStream/FileInputStream(java.io.File) java/io/BufferedInputStream/BufferedInputStream(java.io.InputStream) java/lang/String/startsWith(java.lang.String'
'rg/elegosproject/romupdater/Restore/createRestoreList()','java/util/Collections/reverseOrder() android/widget/ListView/setAdapter(android.widget.ListAdapter) java/lang/String/valueOf(java.lang.Object) java/io/File/isDirectory() java/lang/StringBuilder/append(java.lang.String) android/content/SharedPreferences/getString(java.lang.String,java.lang.String) android/app/AlertDialog$Builder/setCancelable(boolean) java/lang/StringBuilder/StringBuilder(java.lang.String) android/app/AlertDialog$Builder/setMessage(java.lang.CharSequence) android/widget/ArrayAdapter/ArrayAdapter(android.content.Context,int,java.util.List) android/preference/PreferenceManager/getDefaultSharedPreferences(android.content.Context) java/util/Vector/add(java.lang.Object) java/util/Collections/sort(java.util.List,java.util.Comparator) android/app/AlertDialog/show() java/io/File/list() java/util/Vector/isEmpty() java/io/File/File(java.lang.String) android/app/AlertDialog$Builder/setPositiveButton(java.lang.CharSequence,android.content.DialogInterface$OnClickListener) java/util/Vector/Vector() android/app/AlertDialog$Builder/create() java/lang/String/startsWith(java.lang.String) android/app/AlertDialog$Builder/AlertDialog$Builder(android.content.Context) java/lang/StringBuilder/toString() java/lang/String/endsWith(java.lang.String) org/elegosproject/romupdater/Restore/getString(int'
'rg/elegosproject/romupdater/ROMSuperActivity$DownloadFile/doInBackground(java.lang.String[])','org/elegosproject/romupdater/ROMSuperActivity/getString(int) android/app/ProgressDialog/setMessage(java.lang.CharSequence) java/net/URL/openConnection() java/io/IOException/printStackTrace() java/lang/StringBuilder/append(java.lang.String) java/net/URL/URL(java.lang.String) android/app/AlertDialog$Builder/setCancelable(boolean) android/app/ProgressDialog/setCancelable(boolean) java/io/FileOutputStream/close() java/lang/StringBuilder/toString() java/net/URLConnection/getContentLength() java/io/BufferedInputStream/read(byte[]) android/app/ProgressDialog/setProgressStyle(int) android/app/ProgressDialog/setMax(int) java/lang/StringBuilder/StringBuilder(java.lang.String) java/net/URLConnection/getInputStream() java/io/File/File(java.lang.String) android/app/AlertDialog$Builder/setPositiveButton(java.lang.CharSequence,android.content.DialogInterface$OnClickListener) org/apache/http/params/BasicHttpParams/BasicHttpParams() java/lang/Exception/printStackTrace() java/io/FileOutputStream/write(byte[],int,int) java/lang/String/substring(int,int) java/lang/Boolean/valueOf(boolean) java/net/HttpURLConnection/getResponseCode() java/io/FileOutputStream/FileOutputStream(java.lang.String,boolean) android/app/AlertDialog$Builder/setMessage(java.lang.CharSequence) java/lang/String/substring(int) java/io/File/mkdirs() org/apache/http/params/HttpConnectionParams/setConnectionTimeout(org.apache.http.params.HttpParams,int) java/io/BufferedInputStream/BufferedInputStream(java.io.InputStream) java/lang/Integer/valueOf(int) org/elegosproject/romupdater/ROMSuperActivity$DownloadFile/publishProgress(java.lang.Object[]) android/app/ProgressDialog/dismiss() java/lang/String/lastIndexOf(java.lang.String) java/io/File/delete('
'om/google/gson/TypeInfoFactory/getActualType(java.lang.reflect.Type,java.lang.reflect.Type,java.lang.Class)','java/lang/reflect/GenericArrayType/getGenericComponentType() java/lang/Class/getTypeParameters() java/lang/reflect/WildcardType/getUpperBounds() java/lang/reflect/ParameterizedType/getOwnerType() java/lang/UnsupportedOperationException/UnsupportedOperationException(java.lang.String) java/lang/IllegalArgumentException/IllegalArgumentException(java.lang.String) java/lang/StringBuilder/toString() java/lang/Object/equals(java.lang.Object) java/lang/reflect/ParameterizedType/getRawType() java/lang/StringBuilder/append(java.lang.String) java/lang/StringBuilder/StringBuilder() java/lang/reflect/ParameterizedType/getActualTypeArguments() java/lang/StringBuilder/append(java.lang.Object'
