@relation project
 @attribute fqCaller string 
  @attribute fqCalls string 
 @data 
'e/uvwxy/cardpager/d/a(android.view.LayoutInflater,android.view.ViewGroup,android.os.Bundle)','android/widget/TextView/getLayoutParams() android/widget/TextView/TextView(android.content.Context) java/util/HashMap/get(java.lang.Object) android/widget/TextView/setLayoutParams(android.view.ViewGroup$LayoutParams) android/widget/ImageView/setBackground(android.graphics.drawable.Drawable) android/widget/LinearLayout/addView(android.view.View) android/view/LayoutInflater/inflate(int,android.view.ViewGroup,boolean) android/view/View/findViewById(int) android/widget/ImageView/setOnClickListener(android.view.View$OnClickListener) android/widget/TextView/setOnClickListener(android.view.View$OnClickListener'
'e/uvwxy/whereami/a/b/a(java.util.ArrayList,boolean,boolean)','java/lang/String/valueOf(java.lang.Object) java/util/ArrayList/clear() java/util/ArrayList/add(java.lang.Object) android/database/Cursor/moveToFirst() android/database/Cursor/moveToNext() android/database/sqlite/SQLiteDatabase/query(java.lang.String,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,java.lang.String,java.lang.String) java/lang/StringBuilder/append(java.lang.String) android/database/Cursor/close() java/lang/StringBuilder/StringBuilder(java.lang.String) java/lang/StringBuilder/toString() android/database/Cursor/isAfterLast('
'e/uvwxy/whereami/a/b/c(de.uvwxy.whereami.a.c)','android/database/Cursor/getColumnIndex(java.lang.String) java/lang/String/valueOf(java.lang.Object) java/lang/StringBuilder/append(long) android/content/ContentValues/ContentValues() java/lang/Integer/valueOf(int) android/database/Cursor/moveToFirst() android/database/sqlite/SQLiteDatabase/update(java.lang.String,android.content.ContentValues,java.lang.String,java.lang.String[]) android/content/ContentValues/put(java.lang.String,java.lang.Integer) android/database/sqlite/SQLiteDatabase/query(java.lang.String,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,java.lang.String,java.lang.String) java/lang/StringBuilder/append(java.lang.String) android/database/Cursor/close() java/lang/StringBuilder/StringBuilder(java.lang.String) java/lang/StringBuilder/toString() android/database/Cursor/getInt(int'
'e/uvwxy/whereami/a/b/a(de.uvwxy.whereami.a.c)','android/content/ContentValues/put(java.lang.String,java.lang.Long) java/lang/StringBuilder/StringBuilder(java.lang.String) android/content/ContentValues/put(java.lang.String,java.lang.Integer) java/lang/StringBuilder/toString() java/lang/Double/valueOf(double) java/lang/Long/valueOf(long) android/database/sqlite/SQLiteDatabase/insert(java.lang.String,java.lang.String,android.content.ContentValues) java/lang/StringBuilder/append(long) android/content/ContentValues/ContentValues() android/util/Log/d(java.lang.String,java.lang.String) java/lang/Integer/valueOf(int) android/content/ContentValues/put(java.lang.String,java.lang.String) android/content/ContentValues/put(java.lang.String,java.lang.Double'
'ndroid/support/v4/app/ac/a()','android/util/Log/v(java.lang.String,java.lang.String) java/lang/Class/isMemberClass() java/lang/StringBuilder/append(java.lang.String) java/lang/Class/getModifiers() java/lang/reflect/Modifier/isStatic(int) java/lang/StringBuilder/StringBuilder() java/lang/IllegalArgumentException/IllegalArgumentException(java.lang.String) java/lang/StringBuilder/toString() java/lang/StringBuilder/append(java.lang.Object) java/lang/Object/getClass('
'ndroid/support/v4/app/ac/a(java.lang.String,java.io.FileDescriptor,java.io.PrintWriter,java.lang.String[])','java/io/PrintWriter/print(boolean) java/lang/StringBuilder/append(java.lang.String) java/io/PrintWriter/print(java.lang.Object) java/io/PrintWriter/println(java.lang.Object) java/lang/StringBuilder/StringBuilder() java/io/PrintWriter/println(java.lang.String) java/io/PrintWriter/println(boolean) java/lang/StringBuilder/toString() java/io/PrintWriter/print(int) java/io/PrintWriter/print(java.lang.String'
'ndroid/support/v4/app/b/b(boolean)','java/io/PrintWriter/PrintWriter(java.io.Writer) java/lang/StringBuilder/append(int) java/util/ArrayList/get(int) java/lang/StringBuilder/toString() android/util/Log/v(java.lang.String,java.lang.String) java/lang/StringBuilder/append(java.lang.String) java/util/ArrayList/size() java/lang/StringBuilder/StringBuilder() java/lang/IllegalArgumentException/IllegalArgumentException(java.lang.String) java/lang/StringBuilder/append(java.lang.Object'
'ndroid/support/v4/app/b/a(java.lang.String,java.io.PrintWriter,boolean)','java/lang/StringBuilder/append(java.lang.String) java/lang/StringBuilder/append(int) java/io/PrintWriter/println(java.lang.Object) java/lang/Integer/toHexString(int) java/util/ArrayList/size() java/lang/StringBuilder/StringBuilder() java/io/PrintWriter/println(java.lang.String) java/util/ArrayList/get(int) java/io/PrintWriter/println(boolean) java/lang/StringBuilder/toString() java/io/PrintWriter/print(int) java/io/PrintWriter/print(java.lang.String'
'ndroid/support/v4/app/b/run()','java/lang/IllegalStateException/IllegalStateException(java.lang.String) java/lang/StringBuilder/append(int) java/lang/IllegalArgumentException/IllegalArgumentException(java.lang.String) java/lang/StringBuilder/append(java.lang.Object) java/util/ArrayList/get(int) java/lang/StringBuilder/toString() android/util/Log/v(java.lang.String,java.lang.String) java/util/ArrayList/ArrayList() java/lang/StringBuilder/append(java.lang.String) java/util/ArrayList/add(java.lang.Object) java/util/ArrayList/size() java/lang/StringBuilder/StringBuilder('
'ndroid/support/v4/c/a/putAll(java.util.Map)','java/util/Iterator/hasNext() android/support/v4/c/a/a(int) java/util/Map$Entry/getKey() java/util/Map/size() java/util/Iterator/next() java/util/Set/iterator() java/util/Map$Entry/getValue() android/support/v4/c/a/put(java.lang.Object,java.lang.Object) java/util/Map/entrySet('
'e/uvwxy/whereami/b/c/onClick(android.view.View)','android/app/AlertDialog$Builder/setTitle(int) android/app/AlertDialog$Builder/setPositiveButton(int,android.content.DialogInterface$OnClickListener) android/app/AlertDialog$Builder/setNegativeButton(int,android.content.DialogInterface$OnClickListener) android/widget/Toast/show() android/location/Location/setTime(long) de/uvwxy/whereami/b/a/b() android/widget/EditText/EditText(android.content.Context) android/app/AlertDialog$Builder/show() java/lang/System/currentTimeMillis() android/widget/Toast/makeText(android.content.Context,int,int) android/app/AlertDialog$Builder/AlertDialog$Builder(android.content.Context) android/app/AlertDialog$Builder/setView(android.view.View) android/app/AlertDialog$Builder/setMessage(int'
'ndroid/support/v4/c/d/a(java.lang.Object,java.lang.StringBuilder)','java/lang/Class/getSimpleName() java/lang/StringBuilder/append(java.lang.String) java/lang/String/length() java/lang/System/identityHashCode(java.lang.Object) java/lang/Integer/toHexString(int) java/lang/Class/getName() java/lang/String/lastIndexOf(int) java/lang/String/substring(int) java/lang/StringBuilder/append(char) java/lang/Object/getClass('
'ndroid/support/v4/view/ViewPager/a()','android/widget/Scroller/Scroller(android.content.Context,android.view.animation.Interpolator) android/support/v4/view/ViewPager/setFocusable(boolean) android/support/v4/view/ViewPager/setWillNotDraw(boolean) android/view/ViewConfiguration/getScaledMaximumFlingVelocity() android/view/ViewConfiguration/get(android.content.Context) android/content/res/Resources/getDisplayMetrics() android/support/v4/view/ViewPager/setDescendantFocusability(int) android/support/v4/view/ViewPager/getContext() android/content/Context/getResources('
'ndroid/support/v4/view/ViewPager/b()','java/util/ArrayList/remove(int) android/view/View/getLayoutParams() java/lang/Math/max(int,int) android/support/v4/view/ViewPager/requestLayout() java/util/Collections/sort(java.util.List,java.util.Comparator) java/util/ArrayList/size() java/util/ArrayList/get(int) android/support/v4/view/ViewPager/getChildAt(int) android/support/v4/view/ViewPager/getChildCount() java/lang/Math/min(int,int'
'ndroid/support/v4/view/ViewPager/draw(android.graphics.Canvas)','android/graphics/Canvas/rotate(float) android/graphics/Canvas/translate(float,float) android/graphics/Canvas/restoreToCount(int) android/view/ViewGroup/draw(android.graphics.Canvas) android/support/v4/view/ViewPager/getPaddingTop() android/support/v4/view/ViewPager/getHeight() android/support/v4/view/ViewPager/getWidth() android/graphics/Canvas/save() android/support/v4/view/ViewPager/getPaddingBottom('
