@relation project
 @attribute fqCaller string 
  @attribute fqCalls string 
 @data 
'om/nbempire/android/magicannotator/component/activity/annotator/TrucoAnnotatorActivity/setActions(int,int,int,java.util.List)','com/nbempire/android/magicannotator/component/activity/annotator/TrucoAnnotatorActivity/getText(int) java/util/Iterator/hasNext() android/widget/TextView/setOnTouchListener(android.view.View$OnTouchListener) java/util/Iterator/next() java/util/List/add(java.lang.Object) java/util/List/iterator('
'om/nbempire/android/magicannotator/component/activity/annotator/TrucoAnnotatorActivity/substractScore(android.view.View)','com/nbempire/android/magicannotator/component/activity/annotator/TrucoAnnotatorActivity/findViewById(int) java/lang/Integer/intValue() com/nbempire/android/magicannotator/component/activity/annotator/TrucoAnnotatorActivity/getText(int) java/lang/StringBuilder/append(java.lang.String) java/lang/CharSequence/toString() android/util/Log/i(java.lang.String,java.lang.String) java/lang/String/equals(java.lang.Object) java/lang/StringBuilder/StringBuilder() java/lang/Integer/parseInt(java.lang.String) android/widget/TextSwitcher/getCurrentView() java/lang/Integer/valueOf(java.lang.String) java/lang/StringBuilder/append(int) android/widget/TextSwitcher/setText(java.lang.CharSequence) android/view/View/getId() android/widget/TextView/getText() java/lang/StringBuilder/toString() java/lang/String/valueOf(int'
'om/nbempire/android/magicannotator/component/activity/AboutActivity$1/onTouch(android.view.View,android.view.MotionEvent)','com/nbempire/android/magicannotator/component/activity/AboutActivity/startActivity(android.content.Intent) android/content/Intent/Intent(java.lang.String,android.net.Uri) java/lang/StringBuilder/append(java.lang.String) java/lang/CharSequence/toString() android/util/Log/i(java.lang.String,java.lang.String) android/net/Uri/parse(java.lang.String) java/lang/StringBuilder/toString() java/lang/StringBuilder/StringBuilder() com/nbempire/android/magicannotator/component/activity/AboutActivity/getText(int'
'om/nbempire/android/magicannotator/component/activity/ChoosePlayersActivity/onOptionsItemSelected(android.view.MenuItem)','java/lang/StringBuilder/append(java.lang.String) android/view/MenuItem/getItemId() android/util/Log/e(java.lang.String,java.lang.String) java/lang/StringBuilder/StringBuilder() java/lang/StringBuilder/append(java.lang.Object) java/util/Set/clear() java/lang/StringBuilder/toString() android/util/Log/i(java.lang.String,java.lang.String) android/view/MenuItem/getTitle('
'om/nbempire/android/magicannotator/component/activity/ChoosePlayersActivity/onCreate(android.os.Bundle)','com/nbempire/android/magicannotator/component/activity/ChoosePlayersActivity/getIntent() android/os/Bundle/getStringArrayList(java.lang.String) android/os/Bundle/get(java.lang.String) com/nbempire/android/magicannotator/component/activity/ChoosePlayersActivity/setContentView(int) android/content/Intent/getExtras() android/widget/Button/setText(int) java/util/ArrayList/ArrayList() android/os/Bundle/getSerializable(java.lang.String) android/os/Bundle/getInt(java.lang.String) android/app/Activity/onCreate(android.os.Bundle) com/nbempire/android/magicannotator/component/activity/ChoosePlayersActivity/findViewById(int'
'om/nbempire/android/magicannotator/component/activity/ChoosePlayersActivity/loadPlayers(java.util.List)','java/util/Iterator/hasNext() android/widget/TableRow$LayoutParams/TableRow$LayoutParams(int,int) android/widget/TableRow/addView(android.view.View) java/util/Iterator/next() java/util/Set/iterator() java/util/List/iterator() java/util/Set/add(java.lang.Object) com/nbempire/android/magicannotator/component/activity/ChoosePlayersActivity/findViewById(int) android/widget/TableRow/setLayoutParams(android.view.ViewGroup$LayoutParams) java/lang/CharSequence/toString() android/widget/TableRow/TableRow(android.content.Context) java/util/List/contains(java.lang.Object) android/widget/TableLayout/addView(android.view.View'
'om/google/android/apps/analytics/PersistentHitStore/peekHits(int)','android/database/sqlite/SQLiteException/toString() java/util/ArrayList/ArrayList() java/lang/Integer/toString(int) android/database/sqlite/SQLiteDatabase/query(java.lang.String,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,java.lang.String,java.lang.String,java.lang.String) android/database/Cursor/close() java/util/List/toArray(java.lang.Object[]) android/util/Log/e(java.lang.String,java.lang.String) java/util/List/add(java.lang.Object) com/google/android/apps/analytics/PersistentHitStore$DataBaseHelper/getReadableDatabase() android/database/Cursor/getString(int) android/database/Cursor/moveToNext() java/util/List/size() android/database/Cursor/getLong(int'
'om/google/android/apps/analytics/PersistentHitStore/peekEvents(int,android.database.sqlite.SQLiteDatabase,int)','android/database/Cursor/getColumnIndex(java.lang.String) java/util/ArrayList/ArrayList() java/lang/StringBuilder/append(java.lang.String) java/lang/Integer/toString(int) android/database/sqlite/SQLiteDatabase/query(java.lang.String,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,java.lang.String,java.lang.String,java.lang.String) android/database/Cursor/close() android/util/Log/e(java.lang.String,java.lang.String) java/util/List/add(java.lang.Object) android/database/Cursor/getString(int) android/database/Cursor/moveToNext() android/util/Log/w(java.lang.String,java.lang.String) android/database/sqlite/SQLiteException/toString() java/util/List/size() android/database/Cursor/getLong(int) java/lang/StringBuilder/append(long) java/lang/String/equals(java.lang.Object) java/util/List/toArray(java.lang.Object[]) java/lang/StringBuilder/StringBuilder() java/lang/StringBuilder/toString() android/database/Cursor/getInt(int'
'om/google/android/apps/analytics/PersistentHitStore/getCustomVariables(long,android.database.sqlite.SQLiteDatabase)','android/database/Cursor/getColumnIndex(java.lang.String) android/database/sqlite/SQLiteException/toString() android/database/sqlite/SQLiteDatabase/query(java.lang.String,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,java.lang.String,java.lang.String) java/lang/Long/toString(long) android/database/Cursor/close() android/util/Log/e(java.lang.String,java.lang.String) android/database/Cursor/getString(int) android/database/Cursor/moveToNext() android/database/Cursor/getInt(int'
'om/google/android/apps/analytics/PersistentHitStore/getItem(long,android.database.sqlite.SQLiteDatabase)','android/database/Cursor/getColumnIndex(java.lang.String) android/database/sqlite/SQLiteDatabase/query(java.lang.String,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,java.lang.String,java.lang.String) java/lang/Long/toString(long) android/database/Cursor/close() android/util/Log/e(java.lang.String,java.lang.String) android/database/Cursor/moveToFirst() android/database/sqlite/SQLiteException/toString() android/database/Cursor/getLong(int) android/database/Cursor/getString(int) android/database/Cursor/getDouble(int'
'om/google/android/apps/analytics/PersistentHitStore/setReferrer(java.lang.String)','android/database/sqlite/SQLiteException/toString() java/lang/Long/valueOf(long) com/google/android/apps/analytics/PersistentHitStore$DataBaseHelper/getWritableDatabase() android/util/Log/e(java.lang.String,java.lang.String) android/content/ContentValues/ContentValues() java/lang/Integer/valueOf(int) android/content/ContentValues/put(java.lang.String,java.lang.Integer) android/content/ContentValues/put(java.lang.String,java.lang.Long) android/content/ContentValues/put(java.lang.String,java.lang.String'
'om/google/android/apps/analytics/PersistentHitStore/getTransaction(long,android.database.sqlite.SQLiteDatabase)','android/database/Cursor/getColumnIndex(java.lang.String) android/database/sqlite/SQLiteException/toString() android/database/sqlite/SQLiteDatabase/query(java.lang.String,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,java.lang.String,java.lang.String) java/lang/Long/toString(long) android/database/Cursor/close() android/util/Log/e(java.lang.String,java.lang.String) android/database/Cursor/moveToFirst() android/database/Cursor/getString(int) android/database/Cursor/getDouble(int'
'om/google/android/apps/analytics/PersistentHitStore/storeUpdatedSession(android.database.sqlite.SQLiteDatabase)','java/lang/Long/valueOf(long) com/google/android/apps/analytics/PersistentHitStore$DataBaseHelper/getWritableDatabase() android/content/ContentValues/put(java.lang.String,java.lang.Long) android/database/sqlite/SQLiteDatabase/insert(java.lang.String,java.lang.String,android.content.ContentValues) android/content/ContentValues/ContentValues() java/lang/Integer/valueOf(int) android/database/sqlite/SQLiteDatabase/delete(java.lang.String,java.lang.String,java.lang.String[]) java/lang/System/currentTimeMillis() android/content/ContentValues/put(java.lang.String,java.lang.Integer'
'om/google/android/apps/analytics/PersistentHitStore/putEvent(com.google.android.apps.analytics.Event)','android/util/Log/v(java.lang.String,java.lang.String) android/database/sqlite/SQLiteDatabase/beginTransaction() android/database/sqlite/SQLiteDatabase/setTransactionSuccessful() java/lang/StringBuilder/StringBuilder() android/database/sqlite/SQLiteDatabase/inTransaction() android/util/Log/w(java.lang.String,java.lang.String) android/database/sqlite/SQLiteException/toString() com/google/android/apps/analytics/PersistentHitStore$DataBaseHelper/getWritableDatabase() java/lang/StringBuilder/append(java.lang.String) android/util/Log/e(java.lang.String,java.lang.String) java/lang/StringBuilder/toString('
