@relation project
 @attribute fqCaller string 
  @attribute fqCalls string 
 @data 
'l/fhconsulting/golite/BluetoothLeService/broadcastUpdate(java.lang.String,android.bluetooth.BluetoothGattCharacteristic)','android/content/Intent/putExtra(java.lang.String,java.io.Serializable) java/lang/StringBuilder/StringBuilder(int) java/lang/StringBuilder/append(java.lang.Object) java/util/UUID/equals(java.lang.Object) android/content/Intent/putExtra(java.lang.String,java.lang.String) android/bluetooth/BluetoothGattCharacteristic/getUuid() android/util/Log/v(java.lang.String,java.lang.String) android/bluetooth/BluetoothGattCharacteristic/getValue() android/bluetooth/BluetoothGattCharacteristic/getIntValue(int,int) java/lang/String/format(java.lang.String,java.lang.Object[]) java/lang/StringBuilder/StringBuilder() java/lang/String/String(byte[]) android/util/Log/d(java.lang.String,java.lang.String) android/content/Intent/Intent(java.lang.String) nl/fhconsulting/golite/BluetoothLeService/sendBroadcast(android.content.Intent) java/lang/Integer/valueOf(int) android/bluetooth/BluetoothGattCharacteristic/getProperties() java/lang/StringBuilder/toString() java/lang/String/valueOf(int'
'l/fhconsulting/golite/BluetoothLeService/writeCharacteristic(java.util.UUID,android.bluetooth.BluetoothGattCharacteristic,byte[])','android/bluetooth/BluetoothGattCharacteristic/getUuid() android/util/Log/w(java.lang.String,java.lang.String) android/bluetooth/BluetoothGatt/getService(java.util.UUID) java/lang/StringBuilder/append(java.lang.String) android/bluetooth/BluetoothGattCharacteristic/setValue(byte[]) android/bluetooth/BluetoothGattService/getCharacteristic(java.util.UUID) java/lang/StringBuilder/append(boolean) java/lang/StringBuilder/toString() android/bluetooth/BluetoothGatt/writeCharacteristic(android.bluetooth.BluetoothGattCharacteristic) java/lang/StringBuilder/StringBuilder('
'l/fhconsulting/golite/CalculatorActivity/setUp(int)','nl/fhconsulting/golite/CalculatorActivity/findViewById(int) java/lang/Integer/toString(int) java/util/Random/nextInt(int) android/widget/TextView/setText(java.lang.CharSequence) android/widget/Button/setBackground(android.graphics.drawable.Drawable) java/util/Random/Random() nl/fhconsulting/golite/CalculatorActivity/getResources() android/content/res/Resources/getDrawable(int) android/widget/EditText/setFilters(android.text.InputFilter[]) android/widget/Button/setOnClickListener(android.view.View$OnClickListener) android/text/InputFilter$LengthFilter/InputFilter$LengthFilter(int'
'l/fhconsulting/golite/MovementControl$1/onTouch(android.view.View,android.view.MotionEvent)','java/lang/StringBuilder/append(java.lang.String) java/lang/StringBuilder/append(int) android/util/Log/i(java.lang.String,java.lang.String) android/view/MotionEvent/getAction() android/view/MotionEvent/getX() android/widget/ImageView/getX() android/widget/ImageView/getY() android/graphics/PointF/PointF(float,float) android/widget/ImageView/setY(float) android/widget/ImageView/setX(float) java/lang/StringBuilder/StringBuilder() android/view/MotionEvent/getY() java/lang/StringBuilder/toString('
'l/fhconsulting/golite/DeviceScanActivity$LeDeviceListAdapter/getView(int,android.view.View,android.view.ViewGroup)','java/lang/String/equalsIgnoreCase(java.lang.String) android/bluetooth/BluetoothDevice/getAddress() android/view/LayoutInflater/inflate(int,android.view.ViewGroup) java/lang/String/length() android/view/View/findViewById(int) android/widget/TextView/setText(java.lang.CharSequence) android/bluetooth/BluetoothDevice/getName() android/content/res/Resources/getDrawable(int) java/util/ArrayList/get(int) android/view/View/setTag(java.lang.Object) nl/fhconsulting/golite/DeviceScanActivity/getResources() android/widget/ImageView/setImageDrawable(android.graphics.drawable.Drawable) android/widget/ImageView/setVisibility(int) android/view/View/getTag() android/widget/TextView/setText(int'
'l/fhconsulting/golite/DeviceScanActivity/onCreate(android.os.Bundle)','android/bluetooth/BluetoothManager/getAdapter() android/widget/Toast/show() nl/fhconsulting/golite/DeviceScanActivity/finish() android/app/ActionBar/setTitle(int) android/content/pm/PackageManager/hasSystemFeature(java.lang.String) android/app/ListActivity/onCreate(android.os.Bundle) android/widget/Toast/makeText(android.content.Context,int,int) android/os/Handler/Handler() nl/fhconsulting/golite/DeviceScanActivity/getActionBar() nl/fhconsulting/golite/DeviceScanActivity/getPackageManager() nl/fhconsulting/golite/DeviceScanActivity/getSystemService(java.lang.String'
'l/fhconsulting/golite/DeviceScanActivity/parseUUIDs(byte[])','java/util/ArrayList/ArrayList() java/util/UUID/fromString(java.lang.String) java/nio/ByteBuffer/order(java.nio.ByteOrder) java/lang/String/format(java.lang.String,java.lang.Object[]) java/nio/ByteBuffer/getLong() java/nio/ByteBuffer/wrap(byte[],int,int) java/util/UUID/UUID(long,long) java/util/List/add(java.lang.Object) java/lang/Integer/valueOf(int'
'l/fhconsulting/golite/RobotControlActivity/onCreate(android.os.Bundle)','java/lang/String/equalsIgnoreCase(java.lang.String) nl/fhconsulting/golite/RobotControlActivity/setContentView(int) android/widget/TextView/setText(java.lang.CharSequence) android/app/Activity/onCreate(android.os.Bundle) android/app/ActionBar/setTitle(java.lang.CharSequence) android/content/Intent/Intent(android.content.Context,java.lang.Class) android/app/ActionBar/setDisplayHomeAsUpEnabled(boolean) android/widget/ImageView/setOnClickListener(android.view.View$OnClickListener) nl/fhconsulting/golite/RobotControlActivity/findViewById(int) nl/fhconsulting/golite/RobotControlActivity/bindService(android.content.Intent,android.content.ServiceConnection,int) nl/fhconsulting/golite/RobotControlActivity/getIntent() android/widget/Button/setOnClickListener(android.view.View$OnClickListener) android/widget/Button/setVisibility(int) nl/fhconsulting/golite/RobotControlActivity/getActionBar() android/content/Intent/getStringExtra(java.lang.String'
