@RELATION fake

@ATTRIBUTE fqCaller STRING
@ATTRIBUTE fqCalls STRING

@DATA
om/frozenriver/sigmavpn/SigmaVPNClient/saveAdvancedSettings(),org.api.fake
om/frozenriver/sigmavpn/SigmaVPNClient/showAdvancedOptions(),org.api.fake
om/frozenriver/sigmavpn/SigmaVPNClient/onCreate(android.os.Bundle),org.api.fake
'om/frozenriver/sigmavpn/SigmaVPNClient/onActivityResult(int,int,android.content.Intent)',org.api.fake
om/frozenriver/sigmavpn/SigmaVPNClient/saveAdvancedSettings(),'android/app/Dialog/findViewById(int) android/widget/CheckBox/isChecked() android/widget/SeekBar/getProgress() android/content/SharedPreferences$Editor/putBoolean(java.lang.String,boolean) android/content/SharedPreferences$Editor/putInt(java.lang.String,int) java/lang/Integer/parseInt(java.lang.String) android/content/SharedPreferences/edit('
om/frozenriver/sigmavpn/SigmaVPNClient/showAdvancedOptions(),'android/app/Dialog/setTitle(java.lang.CharSequence) android/app/Dialog/setContentView(int) android/app/Dialog/setCancelable(boolean) java/lang/StringBuilder/append(java.lang.String) java/lang/Integer/toString(int) android/widget/TextView/setText(java.lang.CharSequence) java/lang/StringBuilder/StringBuilder(java.lang.String) android/app/Dialog/Dialog(android.content.Context) android/app/Dialog/setOwnerActivity(android.app.Activity) android/view/View/setOnClickListener(android.view.View$OnClickListener) android/widget/SeekBar/setOnSeekBarChangeListener(android.widget.SeekBar$OnSeekBarChangeListener) android/widget/SeekBar/setProgress(int) android/app/Dialog/show() android/app/Dialog/findViewById(int) android/content/SharedPreferences/getBoolean(java.lang.String,boolean) android/content/SharedPreferences/getInt(java.lang.String,int) android/widget/SeekBar/getProgress() android/widget/CheckBox/setChecked(boolean) java/lang/StringBuilder/toString() java/lang/String/valueOf(int'
om/frozenriver/sigmavpn/SigmaVPNClient/onCreate(android.os.Bundle),'android/app/ActionBar$Tab/setTabListener(android.app.ActionBar$TabListener) android/app/ActionBar/setNavigationMode(int) com/frozenriver/sigmavpn/SigmaVPNClient/getActionBar() android/app/ActionBar/newTab() android/app/Activity/onCreate(android.os.Bundle) android/app/ActionBar$Tab/setText(java.lang.CharSequence) com/frozenriver/sigmavpn/SigmaVPNClient/getPreferences(int) android/app/ActionBar/addTab(android.app.ActionBar$Tab) com/frozenriver/sigmavpn/SigmaVPNClient/setContentView(int'
'om/frozenriver/sigmavpn/SigmaVPNClient/onActivityResult(int,int,android.content.Intent)','android/content/Intent/putExtra(java.lang.String,java.lang.String) com/frozenriver/sigmavpn/SigmaVPNClient/startService(android.content.Intent) java/lang/StringBuilder/append(java.lang.String) android/content/SharedPreferences/getString(java.lang.String,java.lang.String) java/lang/StringBuilder/StringBuilder(java.lang.String) android/content/Intent/putExtra(java.lang.String,int) com/frozenriver/sigmavpn/SigmaVPNClient/getPreferences(int) android/content/Intent/putExtra(java.lang.String,boolean) com/frozenriver/sigmavpn/SigmaVPNClient/getPackageName() java/lang/StringBuilder/toString() java/lang/String/valueOf(java.lang.Object) android/content/Intent/Intent(android.content.Context,java.lang.Class) android/content/SharedPreferences/getBoolean(java.lang.String,boolean) android/content/SharedPreferences/getInt(java.lang.String,int'
'om/frozenriver/sigmavpn/SigmaVPNClientNetworkFragment/onCreateView(android.view.LayoutInflater,android.view.ViewGroup,android.os.Bundle)','android/app/Activity/getPreferences(int) android/content/SharedPreferences/getString(java.lang.String,java.lang.String) android/view/LayoutInflater/inflate(int,android.view.ViewGroup,boolean) android/view/View/findViewById(int) android/widget/TextView/setText(java.lang.CharSequence) android/widget/TextView/setOnFocusChangeListener(android.view.View$OnFocusChangeListener) com/frozenriver/sigmavpn/SigmaVPNClientNetworkFragment/setHasOptionsMenu(boolean) com/frozenriver/sigmavpn/SigmaVPNClientNetworkFragment/getActivity() android/widget/TextView/setOnEditorActionListener(android.widget.TextView$OnEditorActionListener'
om/frozenriver/sigmavpn/SigmaVPNClientTunnelFragment/onClick(android.view.View),'android/widget/Toast/makeText(android.content.Context,java.lang.CharSequence,int) android/content/SharedPreferences$Editor/putBoolean(java.lang.String,boolean) java/util/Random/Random() com/frozenriver/sigmavpn/SigmaVPNClientTunnelFragment/getActivity() android/content/SharedPreferences/edit() android/widget/CheckBox/isChecked() android/app/Activity/getSystemService(java.lang.String) java/lang/CharSequence/toString() android/widget/Toast/show() android/view/View/getId() android/widget/TextView/getText() android/content/SharedPreferences$Editor/commit() android/widget/TextView/setText(java.lang.CharSequence) android/content/ClipboardManager/setText(java.lang.CharSequence) java/util/Random/nextBytes(byte[]'
om/frozenriver/sigmavpn/SigmaVPNClientTunnelFragment/onOptionsItemSelected(android.view.MenuItem),'java/lang/StringBuilder/append(java.lang.String) android/widget/Toast/makeText(android.content.Context,java.lang.CharSequence,int) java/lang/StringBuilder/StringBuilder(java.lang.String) com/frozenriver/sigmavpn/SigmaVPNClientTunnelFragment/getActivity() android/content/ClipboardManager/setText(java.lang.CharSequence) java/lang/StringBuilder/toString() java/lang/CharSequence/toString() android/widget/Toast/show() android/view/MenuItem/getItemId() android/widget/TextView/getText() android/app/Activity/getSystemService(java.lang.String) android/app/Activity/findViewById(int'
'om/frozenriver/sigmavpn/SigmaVPNClientTunnelFragment/onCreateView(android.view.LayoutInflater,android.view.ViewGroup,android.os.Bundle)','android/widget/TextView/setOnEditorActionListener(android.widget.TextView$OnEditorActionListener) android/app/Activity/getPreferences(int) android/widget/CheckBox/setOnClickListener(android.view.View$OnClickListener) android/view/LayoutInflater/inflate(int,android.view.ViewGroup,boolean) com/frozenriver/sigmavpn/SigmaVPNClientTunnelFragment/setHasOptionsMenu(boolean) android/view/View/findViewById(int) android/widget/TextView/setText(java.lang.CharSequence) java/util/Random/Random() com/frozenriver/sigmavpn/SigmaVPNClientTunnelFragment/getActivity() java/util/Random/nextBytes(byte[]) android/content/SharedPreferences/getBoolean(java.lang.String,boolean) android/widget/CheckBox/setChecked(boolean) android/content/SharedPreferences/getString(java.lang.String,java.lang.String) android/view/View/setOnClickListener(android.view.View$OnClickListener) android/widget/TextView/setOnFocusChangeListener(android.view.View$OnFocusChangeListener'
om/frozenriver/sigmavpn/SigmaVPNService/run(),'com/frozenriver/sigmavpn/SigmaVPNService/stopSelf() android/os/Handler/sendEmptyMessage(int) java/lang/StringBuilder/StringBuilder(java.lang.String) java/lang/Class/getName() java/lang/Integer/parseInt(java.lang.String) java/lang/Object/getClass() java/lang/Thread/sleep(long) android/os/ParcelFileDescriptor/close() java/net/InetSocketAddress/InetSocketAddress(java.lang.String,int) java/lang/String/valueOf(java.lang.Object) java/lang/StringBuilder/append(java.lang.String) java/io/PrintStream/println(java.lang.String) java/lang/StringBuilder/toString() java/lang/Exception/getMessage('
om/frozenriver/sigmavpn/SigmaVPNService/configure(java.lang.String),'android/net/VpnService$Builder/addRoute(java.lang.String,int) android/os/ParcelFileDescriptor/close() android/net/VpnService$Builder/addDnsServer(java.lang.String) android/net/VpnService$Builder/setMtu(int) android/net/VpnService$Builder/addAddress(java.lang.String,int) android/net/VpnService$Builder/establish() android/net/VpnService$Builder/setSession(java.lang.String) java/lang/String/equals(java.lang.Object) java/lang/Integer/parseInt(java.lang.String) java/lang/IllegalArgumentException/IllegalArgumentException(java.lang.String) android/net/VpnService$Builder/addSearchDomain(java.lang.String) android/net/VpnService$Builder/setConfigureIntent(android.app.PendingIntent) java/lang/StringBuilder/toString() java/lang/Short/parseShort(java.lang.String) java/lang/String/split(java.lang.String) java/lang/StringBuilder/append(java.lang.String) java/lang/String/charAt(int) android/net/VpnService$Builder/VpnService$Builder(android.net.VpnService) java/lang/StringBuilder/StringBuilder(java.lang.String'
'om/frozenriver/sigmavpn/SigmaVPNService/onStartCommand(android.content.Intent,int,int)','com/frozenriver/sigmavpn/SigmaVPNService/stopSelf() java/lang/String/valueOf(java.lang.Object) java/lang/StringBuilder/append(java.lang.String) android/os/Handler/sendEmptyMessage(int) java/lang/Thread/start() android/content/Intent/getBooleanExtra(java.lang.String,boolean) android/content/Intent/getStringExtra(java.lang.String) java/lang/StringBuilder/toString() android/content/Intent/getIntExtra(java.lang.String,int) java/lang/Thread/interrupt() com/frozenriver/sigmavpn/SigmaVPNService/getPackageName() android/os/Handler/Handler(android.os.Handler$Callback) java/lang/StringBuilder/StringBuilder(java.lang.String) java/lang/Thread/Thread(java.lang.Runnable,java.lang.String) java/lang/Integer/parseInt(java.lang.String'
om/frozenriver/sigmavpn/SigmaVPNService/run(java.net.InetSocketAddress),'com/frozenriver/sigmavpn/SigmaVPNService/protect(java.net.DatagramSocket) java/lang/String/split(java.lang.String) java/lang/StringBuilder/append(int) java/nio/channels/DatagramChannel/close() java/nio/channels/DatagramChannel/socket() java/lang/String/concat(java.lang.String) java/net/InetSocketAddress/InetSocketAddress(int) java/nio/channels/DatagramChannel/disconnect() java/net/DatagramSocket/setReuseAddress(boolean) java/nio/channels/DatagramChannel/connect(java.net.SocketAddress) java/nio/channels/DatagramChannel/open() java/lang/StringBuilder/append(java.lang.String) java/lang/String/trim() java/io/PrintStream/println(java.lang.String) java/lang/Thread/start() java/nio/channels/DatagramChannel/configureBlocking(boolean) java/lang/Thread/Thread(java.lang.Runnable) java/io/FileInputStream/FileInputStream(java.io.FileDescriptor) android/os/ParcelFileDescriptor/getFileDescriptor() java/io/FileOutputStream/FileOutputStream(java.io.FileDescriptor) java/lang/StringBuilder/StringBuilder(java.lang.String) java/net/DatagramSocket/bind(java.net.SocketAddress) java/lang/String/equals(java.lang.Object) java/lang/Thread/join() java/lang/StringBuilder/toString('
