@relation project
 @attribute fqCaller string 
  @attribute fqCalls string 
 @data 
'u/serjik/b/h/a()','java/lang/Thread/currentThread() java/lang/StringBuilder/StringBuilder(java.lang.String) java/lang/Class/getName() java/lang/String/startsWith(java.lang.String) java/lang/StackTraceElement/getMethodName() java/lang/Thread/getStackTrace() java/lang/StringBuilder/toString() java/lang/StackTraceElement/getLineNumber() java/lang/StackTraceElement/getClassName('
'u/serjik/hexshaders/a/onClick(android.view.View)','java/lang/String/valueOf(java.lang.Object) android/content/Intent/Intent(java.lang.String,android.net.Uri) java/lang/StringBuilder/append(java.lang.String) android/view/View/getId() java/lang/StringBuilder/StringBuilder(java.lang.String) android/net/Uri/parse(java.lang.String) java/lang/StringBuilder/toString() ru/serjik/hexshaders/HexShadersSettings/startActivity(android.content.Intent) ru/serjik/hexshaders/HexShadersSettings/getPackageName('
'u/serjik/c/c/f()','java/lang/Package/getName() android/widget/Toast/makeText(android.content.Context,java.lang.CharSequence,int) android/widget/Toast/show() android/content/Intent/setAction(java.lang.String) ru/serjik/c/c/getBaseContext() android/content/Intent/putExtra(java.lang.String,android.os.Parcelable) java/lang/Class/getPackage() android/content/Intent/Intent(java.lang.String) android/content/ComponentName/ComponentName(java.lang.String,java.lang.String) android/content/Intent/Intent() ru/serjik/c/c/startActivity(android.content.Intent) java/lang/Class/getCanonicalName('
'u/serjik/preferences/controllers/RGBController/a(java.lang.String[])','ru/serjik/preferences/controllers/RGBController/a(int) android/widget/LinearLayout/setLayoutParams(android.view.ViewGroup$LayoutParams) android/widget/LinearLayout/addView(android.view.View) android/widget/TextView/setText(java.lang.CharSequence) java/lang/Integer/valueOf(int) android/widget/SeekBar/getPaddingLeft() android/widget/SeekBar/setOnSeekBarChangeListener(android.widget.SeekBar$OnSeekBarChangeListener) java/lang/String/format(java.lang.String,java.lang.Object[]) android/widget/TextView/setPadding(int,int,int,int) android/widget/LinearLayout/LinearLayout(android.content.Context) android/widget/TextView/TextView(android.content.Context) android/widget/LinearLayout/setOrientation(int) android/widget/SeekBar/SeekBar(android.content.Context) android/widget/SeekBar/getPaddingRight() android/view/ViewGroup$LayoutParams/ViewGroup$LayoutParams(int,int'
'u/serjik/preferences/controllers/RGBController/a(android.widget.SeekBar,int,android.widget.TextView)','android/widget/LinearLayout$LayoutParams/LinearLayout$LayoutParams(int,int,float) android/widget/LinearLayout/setLayoutParams(android.view.ViewGroup$LayoutParams) android/widget/LinearLayout/addView(android.view.View) android/widget/SeekBar/setProgress(int) android/widget/LinearLayout/setPadding(int,int,int,int) android/widget/LinearLayout$LayoutParams/LinearLayout$LayoutParams(int,int) android/widget/LinearLayout/LinearLayout(android.content.Context) android/widget/SeekBar/setLayoutParams(android.view.ViewGroup$LayoutParams) android/widget/SeekBar/getPaddingLeft() ru/serjik/preferences/controllers/RGBController/a(int) android/widget/TextView/setLayoutParams(android.view.ViewGroup$LayoutParams) android/widget/SeekBar/setMax(int) android/widget/LinearLayout/setOrientation(int) android/widget/LinearLayout/setGravity(int) android/view/ViewGroup$LayoutParams/ViewGroup$LayoutParams(int,int'
'u/serjik/preferences/controllers/CheckBoxController/a(java.lang.String[])','android/widget/CheckBox/setPadding(int,int,int,int) ru/serjik/preferences/controllers/CheckBoxController/a(int) android/widget/LinearLayout/setLayoutParams(android.view.ViewGroup$LayoutParams) android/widget/LinearLayout/addView(android.view.View) android/widget/LinearLayout/setPadding(int,int,int,int) android/widget/CheckBox/setOnCheckedChangeListener(android.widget.CompoundButton$OnCheckedChangeListener) android/widget/LinearLayout/setOrientation(int) android/widget/CheckBox/getPaddingLeft() android/widget/CheckBox/setChecked(boolean) android/widget/CheckBox/setText(java.lang.CharSequence) android/widget/CheckBox/CheckBox(android.content.Context) android/widget/LinearLayout/LinearLayout(android.content.Context) android/widget/CheckBox/getPaddingRight() android/view/ViewGroup$LayoutParams/ViewGroup$LayoutParams(int,int'
'u/serjik/preferences/a/a(java.lang.String,java.lang.String[],ru.serjik.preferences.a.c,android.content.Context)','java/lang/Class/forName(java.lang.String) android/content/res/Resources/getDisplayMetrics() java/lang/Class/newInstance() java/lang/StringBuilder/append(java.lang.String) java/lang/StringBuilder/StringBuilder(java.lang.String) java/lang/Exception/printStackTrace() java/lang/RuntimeException/RuntimeException(java.lang.String) java/lang/StringBuilder/toString() android/content/Context/getResources('
'u/serjik/preferences/controllers/RangeController/a(java.lang.String[])','android/widget/SeekBar/setPadding(int,int,int,int) android/widget/LinearLayout/setLayoutParams(android.view.ViewGroup$LayoutParams) android/widget/LinearLayout/addView(android.view.View) android/widget/TextView/setText(java.lang.CharSequence) android/widget/TextView/setPadding(int,int,int,int) android/widget/SeekBar/getPaddingLeft() android/widget/SeekBar/setOnSeekBarChangeListener(android.widget.SeekBar$OnSeekBarChangeListener) android/widget/SeekBar/setProgress(int) android/widget/LinearLayout/LinearLayout(android.content.Context) android/widget/TextView/TextView(android.content.Context) ru/serjik/preferences/controllers/RangeController/a(int) java/lang/Integer/parseInt(java.lang.String) android/widget/SeekBar/setMax(int) android/widget/LinearLayout/setOrientation(int) android/widget/SeekBar/SeekBar(android.content.Context) android/widget/SeekBar/getPaddingRight() android/view/ViewGroup$LayoutParams/ViewGroup$LayoutParams(int,int'
'u/serjik/preferences/controllers/IntegerController/a(java.lang.String[])','android/widget/LinearLayout/setLayoutParams(android.view.ViewGroup$LayoutParams) android/widget/LinearLayout/setPadding(int,int,int,int) android/widget/LinearLayout/setOrientation(int) android/view/ViewGroup$LayoutParams/ViewGroup$LayoutParams(int,int) android/widget/EditText/setOnEditorActionListener(android.widget.TextView$OnEditorActionListener) android/widget/LinearLayout/addView(android.view.View) android/widget/TextView/setText(java.lang.CharSequence) android/widget/EditText/setInputType(int) android/widget/TextView/setPadding(int,int,int,int) android/widget/EditText/setText(java.lang.CharSequence) android/widget/EditText/EditText(android.content.Context) android/widget/LinearLayout/LinearLayout(android.content.Context) android/widget/TextView/TextView(android.content.Context) ru/serjik/preferences/controllers/IntegerController/a(int'
'u/serjik/hexshaders/HexShadersSettings/c()','ru/serjik/hexshaders/HexShadersSettings/getAssets() java/util/Iterator/hasNext() java/lang/StringBuilder/append(java.lang.String) java/util/List/subList(int,int) java/util/List/size() java/lang/StringBuilder/StringBuilder(java.lang.String) java/util/Iterator/next() java/util/List/iterator() java/lang/StringBuilder/toString() android/widget/Spinner/getSelectedItem() ru/serjik/hexshaders/a/a/d('
