@relation project
 @attribute fqCaller string 
  @attribute fqCalls string 
 @data 
'ndroid/support/v7/widget/a/a(android.view.View,android.content.Context,android.database.Cursor)','android/widget/ImageView/setVisibility(int) android/widget/TextView/setSingleLine(boolean) android/widget/ImageView/setTag(java.lang.Object) android/view/View/getTag() android/database/Cursor/getInt(int) android/text/TextUtils/isEmpty(java.lang.CharSequence) android/widget/TextView/getText() android/widget/ImageView/setOnClickListener(android.view.View$OnClickListener) android/widget/TextView/setMaxLines(int'
'ndroid/support/v7/widget/a/a(android.net.Uri)','android/net/Uri/getPathSegments() android/content/Context/getPackageManager() android/text/TextUtils/isEmpty(java.lang.CharSequence) android/content/res/Resources/getIdentifier(java.lang.String,java.lang.String,java.lang.String) java/lang/StringBuilder/append(java.lang.String) java/util/List/size() java/lang/StringBuilder/StringBuilder() android/content/pm/PackageManager/getResourcesForApplication(java.lang.String) java/util/List/get(int) java/lang/StringBuilder/append(java.lang.Object) java/io/FileNotFoundException/FileNotFoundException(java.lang.String) android/net/Uri/getAuthority() java/lang/StringBuilder/toString() android/content/res/Resources/getDrawable(int) java/lang/Integer/parseInt(java.lang.String'
'ndroid/support/v7/widget/a/b(android.content.ComponentName)','android/content/ComponentName/flattenToShortString() java/lang/StringBuilder/append(java.lang.String) java/lang/StringBuilder/append(int) android/content/pm/PackageManager/getActivityInfo(android.content.ComponentName,int) android/content/ComponentName/getPackageName() java/lang/StringBuilder/StringBuilder() android/content/pm/PackageManager/getDrawable(java.lang.String,int,android.content.pm.ApplicationInfo) java/lang/StringBuilder/toString() android/util/Log/w(java.lang.String,java.lang.String) android/content/pm/PackageManager$NameNotFoundException/toString() android/content/pm/ActivityInfo/getIconResource() android/content/Context/getPackageManager('
'ndroid/support/v7/a/c/i()','java/lang/Class/getSimpleName() java/lang/StringBuilder/append(java.lang.String) android/content/pm/PackageManager/getActivityInfo(android.content.ComponentName,int) android/support/v7/a/b/getPackageManager() android/util/Log/e(java.lang.String,java.lang.String) java/lang/StringBuilder/StringBuilder() android/support/v7/a/b/getComponentName() java/lang/Object/getClass() android/os/Bundle/getString(java.lang.String) java/lang/StringBuilder/toString('
'om/a/a/a/a/ac/b(int)','android/text/TextUtils/isEmpty(java.lang.CharSequence) java/lang/Long/valueOf(long) java/lang/StringBuilder/append(java.lang.String) java/lang/Integer/toString(int) android/database/Cursor/getLong(int) java/util/Iterator/next() java/lang/StringBuilder/StringBuilder() java/util/List/add(java.lang.Object) android/database/sqlite/SQLiteCursor/getWindow() java/util/ArrayList/ArrayList() java/util/Iterator/hasNext() android/database/sqlite/SQLiteException/getMessage() android/database/sqlite/SQLiteDatabase/query(java.lang.String,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,java.lang.String,java.lang.String,java.lang.String) java/lang/String/format(java.lang.String,java.lang.Object[]) android/database/Cursor/close() android/database/CursorWindow/getNumRows() java/util/List/get(int) android/database/Cursor/getString(int) java/util/List/iterator() android/database/Cursor/moveToFirst() android/database/Cursor/moveToNext() java/lang/StringBuilder/toString('
'om/a/a/a/a/ac/a(int)','java/util/ArrayList/ArrayList() android/database/sqlite/SQLiteException/getMessage() java/lang/StringBuilder/append(java.lang.String) java/lang/Integer/toString(int) android/database/Cursor/getLong(int) java/lang/StringBuilder/StringBuilder() java/util/List/add(java.lang.Object) android/database/Cursor/moveToFirst() java/lang/String/valueOf(long) java/lang/StringBuilder/toString() android/database/sqlite/SQLiteDatabase/query(java.lang.String,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,java.lang.String,java.lang.String,java.lang.String) java/lang/String/format(java.lang.String,java.lang.Object[]) android/database/Cursor/close() android/database/Cursor/moveToNext('
'om/a/a/a/a/ac/a(java.util.Map,long,java.lang.String)','java/lang/Long/parseLong(java.lang.String) java/lang/Long/valueOf(long) android/content/ContentValues/put(java.lang.String,java.lang.Long) android/database/sqlite/SQLiteDatabase/insert(java.lang.String,java.lang.String,android.content.ContentValues) android/content/ContentValues/ContentValues() android/content/ContentValues/put(java.lang.String,java.lang.String) java/lang/String/length() java/util/Map/get(java.lang.Object) java/util/Map/containsKey(java.lang.Object'
'om/a/a/a/a/ac/a(java.util.Map)','java/util/ArrayList/ArrayList(int) java/util/Iterator/hasNext() android/text/TextUtils/join(java.lang.CharSequence,java.lang.Iterable) java/util/Map/size() java/util/Iterator/next() java/lang/StringBuilder/StringBuilder() java/util/Set/iterator() java/util/List/add(java.lang.Object) java/util/Map/entrySet() java/lang/StringBuilder/toString() java/lang/StringBuilder/append(java.lang.String) java/util/Map$Entry/getKey() java/util/Map$Entry/getValue('
'om/a/a/a/a/l/c()','android/text/TextUtils/isEmpty(java.lang.CharSequence) com/a/a/a/a/l/a(java.lang.String,java.lang.String) java/lang/StringBuilder/append(java.lang.Object) java/lang/StringBuilder/toString() java/lang/Double/toString(double) java/lang/StringBuilder/append(java.lang.String) java/lang/Thread/getDefaultUncaughtExceptionHandler() java/lang/StringBuilder/append(int) java/lang/Double/Double(double) java/lang/Double/doubleValue() java/lang/StringBuilder/append(boolean) java/lang/StringBuilder/append(long) java/lang/StringBuilder/StringBuilder() java/lang/Thread/setDefaultUncaughtExceptionHandler(java.lang.Thread$UncaughtExceptionHandler'
'ndroid/support/v7/a/d/k()','android/support/v7/a/b/findViewById(int) android/support/v7/a/b/getResources() android/view/View/setId(int) android/support/v7/a/b/obtainStyledAttributes(int[]) java/lang/String/equals(java.lang.Object) android/content/res/TypedArray/recycle() android/content/res/TypedArray/getBoolean(int,boolean) android/content/res/Resources/getBoolean(int) android/support/v7/a/d/i('
