@relation project
 @attribute fqCaller string 
  @attribute fqCalls string 
 @data 
'rg/kflog/cumulus/CumulusActivity$5/run()','java/lang/StringBuilder/StringBuilder(java.lang.String) org/kflog/cumulus/CumulusActivity/getApplicationContext() android/util/Log/e(java.lang.String,java.lang.String) android/content/Intent/Intent(java.lang.String) org/kflog/cumulus/CumulusActivity/startActivity(android.content.Intent) java/lang/String/length() android/widget/Toast/show() android/content/Intent/setType(java.lang.String) org/kflog/cumulus/CumulusActivity/getString(int) java/lang/StringBuilder/toString() android/content/ActivityNotFoundException/getMessage('
'rg/kflog/cumulus/WebCommService/sendHttpsRequest(java.lang.String,java.lang.String)','java/io/BufferedReader/close() javax/net/ssl/SSLContext/getInstance(java.lang.String) javax/net/ssl/HttpsURLConnection/setRequestMethod(java.lang.String) java/lang/StringBuilder/append(java.lang.String) java/io/PrintWriter/close() java/net/URL/URL(java.lang.String) java/io/IOException/getMessage() java/security/SecureRandom/SecureRandom() java/io/BufferedReader/readLine() java/lang/Exception/toString() javax/net/ssl/HttpsURLConnection/setRequestProperty(java.lang.String,java.lang.String) java/lang/StringBuffer/StringBuffer() java/net/MalformedURLException/getMessage() javax/net/ssl/HttpsURLConnection/setConnectTimeout(int) java/net/URL/openConnection() java/lang/StringBuilder/StringBuilder(java.lang.String) javax/net/ssl/HttpsURLConnection/getInputStream() javax/net/ssl/HttpsURLConnection/setSSLSocketFactory(javax.net.ssl.SSLSocketFactory) java/lang/StringBuffer/toString() javax/net/ssl/HttpsURLConnection/getOutputStream() javax/net/ssl/HttpsURLConnection/setReadTimeout(int) android/util/Log/e(java.lang.String,java.lang.String) java/io/InputStreamReader/InputStreamReader(java.io.InputStream) java/io/BufferedReader/BufferedReader(java.io.Reader,int) java/io/PrintWriter/flush() javax/net/ssl/HttpsURLConnection/setDoOutput(boolean) javax/net/ssl/SSLContext/init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom) java/io/PrintWriter/PrintWriter(java.io.OutputStream) javax/net/ssl/SSLContext/getSocketFactory() java/io/PrintWriter/println(java.lang.String) java/lang/StringBuffer/append(java.lang.String) java/lang/StringBuilder/toString() java/lang/Exception/getMessage('
'rg/kflog/cumulus/WebCommService/downloadFile(java.lang.String,java.lang.String)','java/net/MalformedURLException/getMessage() java/io/InputStream/read(byte[]) java/net/URL/URL(java.lang.String) java/io/IOException/getMessage() java/io/File/renameTo(java.io.File) java/io/BufferedOutputStream/write(byte[],int,int) java/io/BufferedOutputStream/BufferedOutputStream(java.io.OutputStream) java/net/URLConnection/setRequestProperty(java.lang.String,java.lang.String) java/io/File/delete() java/net/URLConnection/connect() java/net/URL/openConnection() java/net/URLConnection/setConnectTimeout(int) java/lang/String/valueOf(java.lang.Object) java/lang/StringBuilder/append(java.lang.String) java/text/SimpleDateFormat/format(java.util.Date) java/io/BufferedOutputStream/flush() java/lang/StringBuilder/StringBuilder(java.lang.String) android/util/Log/i(java.lang.String,java.lang.String) java/io/FileOutputStream/FileOutputStream(java.lang.String) java/net/URLConnection/getInputStream() java/net/URLConnection/setReadTimeout(int) java/io/File/File(java.lang.String) java/util/Date/Date() java/io/FileNotFoundException/getMessage() android/util/Log/e(java.lang.String,java.lang.String) java/io/InputStream/close() java/text/SimpleDateFormat/SimpleDateFormat(java.lang.String) java/io/BufferedInputStream/BufferedInputStream(java.io.InputStream) java/lang/StringBuilder/toString() java/io/BufferedOutputStream/close() java/lang/Exception/getMessage('
'rg/kflog/cumulus/BluetoothService$ConnectThread/run()','android/bluetooth/BluetoothAdapter/cancelDiscovery() android/bluetooth/BluetoothDevice/getAddress() android/bluetooth/BluetoothSocket/close() java/lang/StringBuilder/StringBuilder(java.lang.String) android/bluetooth/BluetoothDevice/getName() android/bluetooth/BluetoothSocket/connect() org/kflog/cumulus/BluetoothService$ConnectThread/setName(java.lang.String) java/util/Timer/cancel() java/lang/StringBuilder/toString() java/lang/StringBuilder/append(java.lang.String) java/io/IOException/toString() android/util/Log/e(java.lang.String,java.lang.String) android/util/Log/e(java.lang.String,java.lang.String,java.lang.Throwable'
'oio/lib/impl/GenericResourceAllocator/free(ioio.lib.impl.ResourceManager$Resource)','java/lang/StringBuilder/append(java.lang.String) java/lang/StringBuilder/StringBuilder(java.lang.String) java/util/Set/contains(java.lang.Object) java/util/List/add(java.lang.Object) java/lang/IllegalArgumentException/IllegalArgumentException(java.lang.String) java/lang/StringBuilder/append(java.lang.Object) java/lang/StringBuilder/toString() java/lang/Integer/valueOf(int) java/util/Set/remove(java.lang.Object'
'oio/lib/impl/GenericResourceAllocator/alloc(ioio.lib.impl.ResourceManager$Resource)','java/lang/Integer/intValue() java/util/List/remove(int) java/util/List/isEmpty() java/util/List/size() java/lang/StringBuilder/StringBuilder(java.lang.String) java/lang/Integer/valueOf(int) java/lang/StringBuilder/append(java.lang.Object) java/util/Set/add(java.lang.Object) java/lang/StringBuilder/toString('
'rg/kflog/cumulus/CumulusPreferenceActivity/onKeyDown(int,android.view.KeyEvent)','android/content/Intent/putExtra(java.lang.String,java.lang.String) org/kflog/cumulus/CumulusPreferenceActivity/setResult(int,android.content.Intent) java/lang/StringBuilder/append(int) java/lang/StringBuilder/StringBuilder(java.lang.String) android/preference/PreferenceActivity/onKeyDown(int,android.view.KeyEvent) org/kflog/cumulus/CumulusPreferenceActivity/finish() android/util/Log/d(java.lang.String,java.lang.String) android/content/Intent/Intent() java/lang/StringBuilder/toString('
'rg/kflog/cumulus/CumulusPreferenceActivity/updatePrefItems(boolean)','java/lang/Integer/intValue() java/lang/String/valueOf(java.lang.Object) android/content/SharedPreferences/getString(java.lang.String,java.lang.String) org/kflog/cumulus/CumulusPreferenceActivity/getResources() java/lang/StringBuilder/StringBuilder(java.lang.String) java/lang/String/equals(java.lang.Object) android/preference/Preference/setSummary(java.lang.CharSequence) android/util/Log/d(java.lang.String,java.lang.String) android/content/res/Resources/getStringArray(int) java/lang/StringBuilder/toString() org/kflog/cumulus/CumulusPreferenceActivity/findPreference(java.lang.CharSequence) java/lang/StringBuilder/append(java.lang.String) org/kflog/cumulus/CumulusPreferenceActivity/getString(int) org/kflog/cumulus/CumulusPreferenceActivity/onContentChanged() java/lang/Integer/valueOf(java.lang.String) android/preference/PreferenceManager/getDefaultSharedPreferences(android.content.Context'
'rg/kflog/cumulus/CumulusActivity$AddDataInstallThread/run()','java/io/OutputStream/close() java/lang/String/valueOf(java.lang.Object) java/lang/StringBuilder/append(java.lang.String) java/io/File/File(java.lang.String) android/util/Log/e(java.lang.String,java.lang.String) org/kflog/cumulus/CumulusActivity/getAssets() android/os/Handler/post(java.lang.Runnable) java/io/FileOutputStream/FileOutputStream(java.io.File) java/lang/StringBuilder/StringBuilder(java.lang.String) android/util/Log/i(java.lang.String,java.lang.String) java/lang/StringBuilder/toString() java/lang/Exception/getMessage('
'rg/kflog/cumulus/CumulusActivity$AppDataInstallThread/run()','java/io/OutputStream/close() java/lang/String/valueOf(java.lang.Object) java/lang/StringBuilder/append(java.lang.String) java/io/File/File(java.lang.String) android/util/Log/e(java.lang.String,java.lang.String) org/kflog/cumulus/CumulusActivity/getAssets() android/os/Handler/post(java.lang.Runnable) java/io/FileOutputStream/FileOutputStream(java.io.File) java/lang/StringBuilder/StringBuilder(java.lang.String) android/util/Log/i(java.lang.String,java.lang.String) java/lang/StringBuilder/toString() java/lang/Exception/getMessage('
