@relation project
 @attribute fqCaller string 
  @attribute fqCalls string 
 @data 
'om/google/android/exoplayer/MediaCodecTrackRenderer/feedInputBuffer(long,boolean)','java/util/List/size() android/media/MediaCodec/queueInputBuffer(int,int,int,long,int) java/util/List/get(int) java/nio/ByteBuffer/position() java/nio/ByteBuffer/put(byte[]) android/media/MediaCodec/dequeueInputBuffer(long) java/util/List/add(java.lang.Object'
'om/google/android/exoplayer/MediaCodecTrackRenderer/maybeInitCodec()','android/media/MediaCodec/getInputBuffers() java/lang/StringBuilder/append(java.lang.String) com/google/android/exoplayer/MediaCodecTrackRenderer/getState() android/os/SystemClock/elapsedRealtime() android/media/MediaCodec/getOutputBuffers() android/media/MediaCodec/start() android/media/MediaCodec/createByCodecName(java.lang.String) java/lang/StringBuilder/StringBuilder() java/lang/StringBuilder/toString('
'et/protyposis/android/spectaculum/CameraView/startCamera()','net/protyposis/android/spectaculum/CameraView/getContext() java/io/IOException/printStackTrace() android/hardware/Camera/setPreviewTexture(android.graphics.SurfaceTexture) net/protyposis/android/spectaculum/CameraView/getInputHolder() android/hardware/Camera/setDisplayOrientation(int) android/hardware/Camera$CameraInfo/Camera$CameraInfo() android/hardware/Camera/open(int) android/view/WindowManager/getDefaultDisplay() android/view/Display/getRotation() android/hardware/Camera/getCameraInfo(int,android.hardware.Camera$CameraInfo) android/content/Context/getSystemService(java.lang.String) android/hardware/Camera$Parameters/getPreviewSize() android/hardware/Camera$Parameters/setFocusMode(java.lang.String) android/hardware/Camera/startPreview() android/hardware/Camera/setParameters(android.hardware.Camera$Parameters) net/protyposis/android/spectaculum/CameraView/updateResolution(int,int) java/util/List/contains(java.lang.Object) android/hardware/Camera/getParameters() android/hardware/Camera$Parameters/getSupportedFocusModes('
'om/google/android/exoplayer/hls/DefaultHlsTrackSelector/selectTracks(com.google.android.exoplayer.hls.HlsMasterPlaylist,com.google.android.exoplayer.hls.HlsTrackSelector$Output)','java/util/ArrayList/ArrayList() java/util/ArrayList/removeAll(java.util.Collection) java/util/ArrayList/isEmpty() java/util/List/isEmpty() java/util/ArrayList/toArray(java.lang.Object[]) java/util/List/size() java/util/ArrayList/add(java.lang.Object) java/util/ArrayList/size() java/util/List/get(int) java/util/ArrayList/get(int'
'o/fabric/sdk/android/services/network/PinningTrustManager/isValidPin(java.security.cert.X509Certificate)','java/security/cert/CertificateException/CertificateException(java.lang.Throwable) java/security/cert/X509Certificate/getPublicKey() java/util/Iterator/hasNext() java/util/Arrays/equals(byte[],byte[]) java/security/PublicKey/getEncoded() java/util/Iterator/next() java/security/MessageDigest/digest(byte[]) java/util/List/iterator() java/security/MessageDigest/getInstance(java.lang.String'
'om/google/android/exoplayer/extractor/webm/WebmExtractor$Track/initializeOutput(com.google.android.exoplayer.extractor.ExtractorOutput,int,long)','java/nio/ByteOrder/nativeOrder() java/lang/StringBuilder/append(java.lang.String) java/lang/String/equals(java.lang.Object) java/lang/StringBuilder/StringBuilder() java/nio/ByteBuffer/array() java/lang/StringBuilder/toString() java/nio/ByteBuffer/allocate(int) java/lang/Integer/intValue() java/lang/String/hashCode() java/util/ArrayList/ArrayList(int) java/lang/StringBuilder/append(int) java/nio/ByteBuffer/order(java.nio.ByteOrder) java/nio/ByteBuffer/putLong(long) java/lang/Integer/toString(int) java/util/List/add(java.lang.Object) java/util/Collections/singletonList(java.lang.Object'
'om/crashlytics/android/core/SessionProtobufHelper/getFrameSize(java.lang.StackTraceElement,boolean)','java/lang/StackTraceElement/isNativeMethod() java/lang/Math/max(int,int) java/lang/StringBuilder/StringBuilder() java/lang/StackTraceElement/getFileName() java/lang/StackTraceElement/getMethodName() java/lang/StringBuilder/toString() java/lang/StringBuilder/append(java.lang.String) java/lang/StackTraceElement/getLineNumber() java/lang/StackTraceElement/getClassName('
'om/crashlytics/android/core/SessionProtobufHelper/writeFrame(com.crashlytics.android.core.CodedOutputStream,int,java.lang.StackTraceElement,boolean)','java/lang/StackTraceElement/isNativeMethod() java/lang/Math/max(int,int) java/lang/StringBuilder/StringBuilder() java/lang/StringBuilder/append(java.lang.String) java/lang/StackTraceElement/getLineNumber() java/lang/StackTraceElement/getClassName() java/lang/StackTraceElement/getFileName() java/lang/StackTraceElement/getMethodName() java/lang/StringBuilder/toString('
'et/protyposis/android/mediaplayer/AudioPlayback$BufferQueue/put(java.nio.ByteBuffer,long)','java/nio/ByteBuffer/remaining() java/util/List/clear() java/nio/ByteBuffer/limit(int) java/nio/ByteBuffer/mark() java/util/List/remove(int) java/util/Queue/add(java.lang.Object) java/nio/ByteBuffer/put(java.nio.ByteBuffer) java/util/List/isEmpty() java/nio/ByteBuffer/reset('
'om/google/android/exoplayer/upstream/Loader$LoadTask/run()','android/os/Message/sendToTarget() java/lang/Class/getSimpleName() java/lang/StringBuilder/append(java.lang.String) android/util/Log/e(java.lang.String,java.lang.String,java.lang.Throwable) java/lang/StringBuilder/StringBuilder() java/lang/Object/getClass() com/google/android/exoplayer/upstream/Loader$LoadTask/obtainMessage(int,java.lang.Object) java/lang/Thread/currentThread() com/google/android/exoplayer/upstream/Loader$LoadTask/sendEmptyMessage(int) java/lang/StringBuilder/toString('
