@relation project
 @attribute fqCaller string 
  @attribute fqCalls string 
 @data 
'om/hayaisoftware/launcher/c/a(java.util.List)','java/util/AbstractMap/get(java.lang.Object) com/hayaisoftware/launcher/c/getReadableDatabase() android/database/Cursor/close() java/util/HashMap/HashMap(int) android/database/Cursor/getCount() android/database/Cursor/moveToNext() android/database/Cursor/getInt(int) java/util/AbstractMap/put(java.lang.Object,java.lang.Object) android/content/ComponentName/getClassName() java/util/Iterator/next() android/database/sqlite/SQLiteDatabase/close() android/database/Cursor/getString(int) java/util/List/iterator() android/database/Cursor/moveToFirst('
'om/hayaisoftware/launcher/c/a(java.lang.String,long,int,int)','android/database/sqlite/SQLiteStatement/bindString(int,java.lang.String) android/database/sqlite/SQLiteStatement/simpleQueryForLong() android/database/sqlite/SQLiteDatabase/compileStatement(java.lang.String) java/lang/String/format(java.lang.String,java.lang.Object[]) android/database/sqlite/SQLiteStatement/executeInsert() android/database/sqlite/SQLiteStatement/bindLong(int,long) com/hayaisoftware/launcher/c/getWritableDatabase() android/database/sqlite/SQLiteStatement/close() android/database/sqlite/SQLiteDatabase/close('
'om/hayaisoftware/launcher/e/onReceive(android.content.Context,android.content.Intent)','android/content/Context/getSharedPreferences(java.lang.String,int) android/net/Uri/getSchemeSpecificPart() android/content/SharedPreferences/getString(java.lang.String,java.lang.String) android/content/Context/getPackageName() android/content/SharedPreferences$Editor/apply() java/lang/String/isEmpty() java/lang/StringBuilder/StringBuilder() android/content/SharedPreferences/edit() java/lang/String/contains(java.lang.CharSequence) android/content/SharedPreferences$Editor/putString(java.lang.String,java.lang.String) android/content/Intent/getData() java/lang/StringBuilder/toString() java/lang/StringBuilder/append(java.lang.String) java/lang/String/trim('
'om/hayaisoftware/launcher/activities/SearchActivity/b(java.lang.String)','java/util/ArrayList/remove(java.lang.Object) android/content/ComponentName/getClassName() android/util/SparseArray/get(int) java/util/HashMap/remove(java.lang.Object) android/widget/ArrayAdapter/notifyDataSetChanged() java/lang/CharSequence/charAt(int) java/util/Iterator/next() java/util/List/iterator() java/lang/CharSequence/subSequence(int,int) java/util/Iterator/hasNext() java/lang/CharSequence/length('
'om/hayaisoftware/launcher/activities/SearchActivity/a(com.hayaisoftware.launcher.b)','android/content/Intent/putExtra(java.lang.String,java.lang.String) android/widget/Toast/makeText(android.content.Context,java.lang.CharSequence,int) android/widget/Toast/show() android/content/Intent/setAction(java.lang.String) android/widget/EditText/getText() android/content/Intent/setType(java.lang.String) android/content/Intent/addFlags(int) android/content/Intent/setFlags(int) java/lang/System/currentTimeMillis() android/content/Intent/Intent() android/content/Intent/setComponent(android.content.ComponentName) java/lang/Object/toString() com/hayaisoftware/launcher/activities/SearchActivity/startActivity(android.content.Intent) android/content/ComponentName/getClassName() android/widget/ArrayAdapter/notifyDataSetChanged() com/hayaisoftware/launcher/activities/SearchActivity/getString(int) android/content/Intent/addCategory(java.lang.String) android/content/Intent/Intent(java.lang.String'
'om/hayaisoftware/launcher/activities/SearchActivity/b()','java/lang/Object/toString() java/lang/String/trim() java/lang/StringBuilder/append(int) android/widget/ArrayAdapter/notifyDataSetChanged() java/util/ArrayList/clear() android/widget/EditText/getText() java/util/ArrayList/size() java/util/HashSet/HashSet() java/lang/String/toLowerCase() java/lang/StringBuilder/StringBuilder() java/util/ArrayList/addAll(java.util.Collection'
'om/hayaisoftware/launcher/activities/SearchActivity/onSharedPreferenceChanged(android.content.SharedPreferences,java.lang.String)','com/hayaisoftware/launcher/activities/SearchActivity/recreate() java/util/ArrayList/ArrayList(int) java/lang/String/trim() android/content/SharedPreferences/getString(java.lang.String,java.lang.String) java/lang/String/isEmpty() android/content/SharedPreferences/edit() android/content/Intent/addCategory(java.lang.String) android/content/Intent/setPackage(java.lang.String) android/content/Intent/Intent() android/content/SharedPreferences/getBoolean(java.lang.String,boolean) java/lang/String/split(java.lang.String) java/util/Iterator/hasNext() java/util/List/isEmpty() java/lang/CharSequence/toString() android/widget/ArrayAdapter/notifyDataSetChanged() android/content/SharedPreferences$Editor/apply() java/util/List/size() android/content/pm/ActivityInfo/loadLabel(android.content.pm.PackageManager) android/content/pm/PackageManager/queryIntentActivities(android.content.Intent,int) java/util/Iterator/next() android/content/Intent/setAction(java.lang.String) java/lang/String/equals(java.lang.Object) java/util/ArrayList/add(java.lang.Object) android/content/SharedPreferences$Editor/putString(java.lang.String,java.lang.String) java/util/List/iterator('
'om/hayaisoftware/launcher/activities/SearchActivity/a(java.util.List)','android/content/ComponentName/getClassName() java/lang/StringBuilder/append(java.lang.String) java/lang/StringBuilder/StringBuilder(java.lang.String) android/util/SparseArray/put(int,java.lang.Object) java/util/List/add(java.lang.Object) java/util/List/iterator() java/lang/CharSequence/subSequence(int,int) java/util/Iterator/hasNext() java/lang/CharSequence/length() android/util/SparseArray/get(int) java/lang/StringBuilder/append(int) java/lang/CharSequence/toString() java/util/HashMap/remove(java.lang.Object) java/util/List/size() java/lang/Class/getCanonicalName() java/lang/CharSequence/charAt(int) java/util/Iterator/next() java/util/HashMap/put(java.lang.Object,java.lang.Object) java/lang/String/equals(java.lang.Object) android/content/ComponentName/getPackageName() java/util/LinkedList/LinkedList() java/lang/StringBuilder/StringBuilder() java/lang/StringBuilder/append(java.lang.Object) java/lang/Object/getClass() java/lang/StringBuilder/toString('
'om/hayaisoftware/launcher/activities/SearchActivity/d()','java/lang/CharSequence/toString() android/content/Intent/addCategory(java.lang.String) java/util/List/iterator() java/util/ArrayList/ArrayList(int) java/util/Iterator/hasNext() java/util/List/size() android/content/pm/ActivityInfo/loadLabel(android.content.pm.PackageManager) android/content/pm/PackageManager/queryIntentActivities(android.content.Intent,int) java/util/Iterator/next() android/content/Intent/setAction(java.lang.String) java/util/ArrayList/add(java.lang.Object) android/content/Intent/Intent('
'om/hayaisoftware/launcher/activities/SearchActivity/onContextItemSelected(android.view.MenuItem)','android/content/Intent/setData(android.net.Uri) java/lang/StringBuilder/append(java.lang.String) android/view/MenuItem/getMenuInfo() android/content/ComponentName/getPackageName() android/net/Uri/parse(java.lang.String) android/content/Intent/Intent(java.lang.String) android/content/Intent/setFlags(int) android/view/View/getTag() java/lang/StringBuilder/toString() com/hayaisoftware/launcher/activities/SearchActivity/startActivity(android.content.Intent) android/content/ComponentName/getClassName() android/view/MenuItem/getItemId() android/widget/ArrayAdapter/notifyDataSetChanged() android/view/View/findViewById(int) java/lang/StringBuilder/StringBuilder(java.lang.String'
