@RELATION fake

@ATTRIBUTE fqCaller STRING
@ATTRIBUTE fqCalls STRING

@DATA
'om/cax/pmk/SimpleFileDialog$1SimpleFileDialogOnClickListener/onClick(android.content.DialogInterface,int)',org.api.fake
om/cax/pmk/InfoActivity/onCreate(android.os.Bundle),org.api.fake
om/cax/pmk/InfoActivity/switchMode(int),org.api.fake
om/cax/pmk/InfoActivity/buildRegsDumpString(android.os.Bundle),org.api.fake
om/cax/pmk/widget/Slider/trackTouchEvent(android.view.MotionEvent),org.api.fake
om/cax/pmk/MainActivity/initializeUI(),org.api.fake
om/cax/pmk/MainActivity/openInfoActivity(),org.api.fake
om/cax/pmk/MainActivity/activateSettings(),org.api.fake
om/cax/pmk/MainActivity/copyToClipboard(),org.api.fake
om/cax/pmk/MainActivity/onCreate(android.os.Bundle),org.api.fake
'om/cax/pmk/emulator/Emulator/readValue(int,int)',org.api.fake
om/cax/pmk/SkinHelper/setMkModelSkin(int),org.api.fake
'om/cax/pmk/SkinHelper/styleButtons(boolean,float,float,boolean,boolean)',org.api.fake
'om/cax/pmk/SimpleFileDialog$1SimpleFileDialogOnClickListener/onClick(android.content.DialogInterface,int)','java/io/File/isFile() java/lang/StringBuilder/append(java.lang.Object) android/app/AlertDialog/getListView() android/widget/ListAdapter/getItem(int) java/lang/String/lastIndexOf(java.lang.String) java/lang/StringBuilder/toString() java/lang/StringBuilder/append(java.lang.String) java/lang/String/charAt(int) java/lang/String/length() java/lang/StringBuilder/StringBuilder() android/widget/ListView/getAdapter('
om/cax/pmk/InfoActivity/onCreate(android.os.Bundle),'com/cax/pmk/InfoActivity/getString(int) android/webkit/WebView/setBackgroundColor(int) java/lang/StringBuilder/append(java.lang.String) android/app/Activity/onCreate(android.os.Bundle) com/cax/pmk/InfoActivity/setContentView(int) java/lang/StringBuilder/StringBuilder() android/graphics/Color/parseColor(java.lang.String) android/preference/PreferenceManager/getDefaultSharedPreferences(android.content.Context) android/os/Bundle/getString(java.lang.String) com/cax/pmk/InfoActivity/getIntent() java/lang/StringBuilder/toString() android/content/Intent/getExtras() android/webkit/WebView/loadUrl(java.lang.String) com/cax/pmk/InfoActivity/findViewById(int) android/content/SharedPreferences/getInt(java.lang.String,int'
om/cax/pmk/InfoActivity/switchMode(int),'android/webkit/WebSettings/setTextZoom(int) com/cax/pmk/InfoActivity/getString(int) android/webkit/WebView/loadData(java.lang.String,java.lang.String,java.lang.String) android/content/SharedPreferences$Editor/apply() android/webkit/WebView/getSettings() android/content/SharedPreferences/edit() android/webkit/WebView/loadUrl(java.lang.String) android/content/SharedPreferences$Editor/putInt(java.lang.String,int) android/webkit/WebView/loadDataWithBaseURL(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String) android/preference/PreferenceManager/getDefaultSharedPreferences(android.content.Context'
om/cax/pmk/InfoActivity/buildRegsDumpString(android.os.Bundle),'com/cax/pmk/InfoActivity/getString(int) android/os/Bundle/getStringArrayList(java.lang.String) java/lang/StringBuilder/append(java.lang.String) java/lang/String/length() java/lang/StringBuilder/StringBuilder() java/util/ArrayList/get(int) java/lang/StringBuilder/toString() java/lang/String/format(java.util.Locale,java.lang.String,java.lang.Object[]) java/util/ArrayList/size('
om/cax/pmk/widget/Slider/trackTouchEvent(android.view.MotionEvent),'com/cax/pmk/widget/Slider/getPaddingLeft() com/cax/pmk/widget/Slider/getMax() com/cax/pmk/widget/Slider/getWidth() com/cax/pmk/widget/Slider/getPaddingRight() com/cax/pmk/widget/Slider/getProgress() android/widget/SeekBar$OnSeekBarChangeListener/onProgressChanged(android.widget.SeekBar,int,boolean) java/lang/Double/isNaN(double) com/cax/pmk/widget/Slider/setProgress(int) android/view/MotionEvent/getX('
om/cax/pmk/MainActivity/initializeUI(),'android/view/View/setOnLongClickListener(android.view.View$OnLongClickListener) java/util/Iterator/hasNext() android/view/View/setVisibility(int) com/cax/pmk/MainActivity/findViewById(int) android/view/View/setOnClickListener(android.view.View$OnClickListener) android/widget/SeekBar/setOnSeekBarChangeListener(android.widget.SeekBar$OnSeekBarChangeListener) android/widget/TextView/setText(java.lang.CharSequence) java/util/Iterator/next() java/util/List/iterator() android/view/View/setOnTouchListener(android.view.View$OnTouchListener'
